domain,attack_family,budget,n,success_rate,mean_drift,median_drift,p90_drift,mean_edits,mean_queries,median_queries_to_success,mean_runtime,validity_rate,transfer_success_rate
Bio-Cyber V3,Attr-High,5,15,0.2,0.1329238381857673,0.1249661445617675,0.2253269612789153,1.0,5.0,3.0,0.0019670804341634,1.0,0.1333333333333333
Bio-Cyber V3,Attr-High,20,15,0.2666666666666666,0.1905246850724021,0.1820632815361023,0.2841161251068115,1.0,20.0,3.0,0.006529680887858,1.0,0.1333333333333333
Bio-Cyber V3,Attr-High,50,15,0.4666666666666667,0.2413010970378915,0.2620298266410827,0.3519223928451538,1.0,50.0,5.5,0.0197304725646972,1.0,0.1333333333333333
Bio-Cyber V3,Attr-Low,5,15,0.0666666666666666,0.0533083946133653,0.047561764717102,0.0983018517494201,1.0,5.0,3.0,0.0019707997639973,1.0,0.0
Bio-Cyber V3,Attr-Low,20,15,0.1333333333333333,0.0865033195043603,0.076807215809822,0.1545851707458496,1.0,20.0,3.0,0.0072574774424235,1.0,0.0666666666666666
Bio-Cyber V3,Attr-Low,50,15,0.1333333333333333,0.1094936654592553,0.0823482275009155,0.1960919618606567,1.0,50.0,3.0,0.0176820119222005,1.0,0.0
Bio-Cyber V3,Attr-Rand,5,15,0.2,0.1040280895928541,0.090125560760498,0.1919517755508422,0.9333333333333332,5.0,1.0,0.0020497957865397,1.0,0.0666666666666666
Bio-Cyber V3,Attr-Rand,20,15,0.2,0.1253467988843719,0.118141770362854,0.2177599310874939,1.0,20.0,3.5,0.0082763036092122,1.0,0.0
Bio-Cyber V3,Attr-Rand,50,15,0.2666666666666666,0.1591254721706112,0.1910686492919922,0.2385931849479675,1.0,50.0,2.5,0.0178557078043619,1.0,0.1333333333333333
Bio-Cyber V3,Evolutionary,5,15,0.0,0.0,0.0,0.0,0.0,5.0,,0.0009532451629638,1.0,0.0
Bio-Cyber V3,Evolutionary,20,15,0.2666666666666666,0.2247751551369826,0.2073801159858703,0.3970536172389984,2.8666666666666667,20.0,7.0,0.0034565925598144,1.0,0.0666666666666666
Bio-Cyber V3,Evolutionary,50,15,0.5333333333333333,0.4731141646082202,0.5180862545967102,0.6899898529052734,7.333333333333333,50.0,11.0,0.0078169663747151,1.0,0.4
Bio-Cyber V3,MCMC,5,15,0.2,0.125041816321512,0.0752538442611694,0.3053443312644958,2.8666666666666667,5.0,3.0,0.0017206668853759,1.0,0.0
Bio-Cyber V3,MCMC,20,15,0.4666666666666667,0.3422851701577504,0.2783430814743042,0.4969908714294433,8.4,20.0,3.0,0.006765604019165,1.0,0.1333333333333333
Bio-Cyber V3,MCMC,50,15,0.6,0.5120092488825321,0.5987856984138489,0.802757740020752,16.4,50.0,6.0,0.0167137145996093,1.0,0.4
Bio-Cyber V3,Random,5,15,0.2,0.0959742323185006,0.0621225237846374,0.1981415629386901,1.0,5.0,3.0,0.0009730497996012,1.0,0.0
Bio-Cyber V3,Random,20,15,0.2,0.1407811180378,0.1445387303829193,0.2289952397346496,1.0,20.0,2.0,0.006153392791748,1.0,0.0666666666666666
Bio-Cyber V3,Random,50,15,0.3333333333333333,0.1867012123887737,0.2176482677459716,0.2724564313888549,1.0,50.0,2.5,0.0166258970896403,1.0,0.0
