source_id,source_sequence,candidate_sequence,attack_name,attack_family,seed,query_count,generation_count,runtime_seconds,valid_rdkit,constraint_pass,tanimoto_similarity,edit_distance,source_prediction,candidate_prediction,prediction_drift,objective_value,failure_reason,metadata
3583,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,[*]OC1C(COC(C)=O)OC([*])C(OC(C)=O)C1O,random_search,random,2026,1,107,0.3639562129974365,True,True,1.0,0,6.238099575042725,6.238099575042725,0.0,0.0,,{}
3602,[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],[*]CC(CCl)(CCl)COC(=O)C(=O)O[*],random_search,random,2026,1,117,0.2899901866912842,True,True,1.0,0,6.32516622543335,6.32516622543335,0.0,0.0,,{}
3604,[*]NC(CO)C([*])=O,[*]NC(CO)C([*])=O,random_search,random,2026,1,111,0.2300114631652832,True,True,1.0,0,5.532388210296631,5.532388210296631,0.0,0.0,,{}
3607,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,random_search,random,2026,1,120,0.3265359401702881,True,True,1.0,0,4.370055198669434,4.370055198669434,0.0,0.0,,{}
3609,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,random_search,random,2026,1,103,0.3493642807006836,True,True,1.0,0,4.256508827209473,4.256508827209473,0.0,0.0,,{}
3621,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,random_search,random,2026,1,112,0.3336951732635498,True,True,1.0,0,4.676126480102539,4.676126480102539,0.0,0.0,,{}
3623,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,random_search,random,2026,1,110,0.4780762195587158,True,True,1.0,0,4.059845924377441,4.059845924377441,0.0,0.0,,{}
3634,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,random_search,random,2026,1,147,0.32282567024230957,True,True,1.0,0,4.265665054321289,4.265665054321289,0.0,0.0,,{}
3644,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,[*]C=CC1CC([*])C(C(=O)OC(C)(C)C)C1C(=O)OC(C)(C)C,random_search,random,2026,1,133,0.3168485164642334,True,True,1.0,0,5.599942684173584,5.599942684173584,0.0,0.0,,{}
3648,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,[*]Cc1ccc(COC(=O)CCCCCCC(=O)O[*])cc1,random_search,random,2026,1,116,0.2653658390045166,True,True,1.0,0,5.499137878417969,5.499137878417969,0.0,0.0,,{}
3650,[*]CC(OC)C1(C)C(=O)OC(=O)C1([*])C,[*]CC(OC)C1(C)C(=O)OC(=O)C1([*])C,random_search,random,2026,1,102,0.2082521915435791,True,True,1.0,0,5.9399213790893555,5.9399213790893555,0.0,0.0,,{}
3657,[*]c1ccc2c(c1)c1cc([*])ccc1n2CCC(=O)NO,[*]c1ccc2c(c1)c1cc([*])ccc1n2CCC(=O)NO,random_search,random,2026,1,116,0.3240041732788086,True,True,1.0,0,3.0984621047973633,3.0984621047973633,0.0,0.0,,{}
3658,[*]CCCCOC(=O)C(OC)C(OC)C(=O)O[*],[*]CCCCOC(=O)C(OC)C(OC)C(=O)O[*],random_search,random,2026,1,132,0.33165574073791504,True,True,1.0,0,6.2052154541015625,6.2052154541015625,0.0,0.0,,{}
3666,[*]CC([*])C(=O)OCCO,[*]CC([*])C(=O)OCCO,random_search,random,2026,1,108,0.22076106071472168,True,True,1.0,0,6.219655990600586,6.219655990600586,0.0,0.0,,{}
3671,[*]Nc1cc(F)c([*])cc1F,[*]Nc1cc(F)c([*])cc1F,random_search,random,2026,1,104,0.25026822090148926,True,True,1.0,0,3.8623814582824707,3.8623814582824707,0.0,0.0,,{}
3672,[*]C=C([*])c1cccc(C#C)n1,[*]C=C([*])c1cccc(C#C)n1,random_search,random,2026,1,104,0.35761237144470215,True,True,1.0,0,2.771085023880005,2.771085023880005,0.0,0.0,,{}
3676,[*]c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(S([*])(=O)=O)cc2)cc1,[*]c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(S([*])(=O)=O)cc2)cc1,random_search,random,2026,1,120,0.286515474319458,True,True,1.0,0,4.032588005065918,4.032588005065918,0.0,0.0,,{}
3680,[*]CCCC(S1)=CC=C1[*],[*]CCCC(S1)=CC=C1[*],random_search,random,2026,1,102,0.24367904663085938,True,True,1.0,0,3.96146297454834,3.96146297454834,0.0,0.0,,{}
3681,C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N,C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N,random_search,random,2026,1,105,0.32352256774902344,True,True,1.0,0,2.4064769744873047,2.4064769744873047,0.0,0.0,,{}
