attack_family,budget,seed,mean_drift,configured_success_rate,raw_validity,mean_edit_distance,target_queries,runtime
evolutionary,10,42,0.0,0.0,1.0,0.0,1.0,0.052648591995239205
evolutionary,10,123,0.0,0.0,1.0,0.0,1.0,0.05501385211944577
evolutionary,10,777,0.0,0.0,1.0,0.0,1.0,0.05990091323852535
evolutionary,10,999,0.0,0.0,1.0,0.0,1.0,0.061799385547637906
evolutionary,10,2026,0.0,0.0,1.0,0.0,1.0,0.05839455604553219
evolutionary,20,42,0.0,0.0,1.0,0.0,1.0,0.10591884136199947
evolutionary,20,123,0.0,0.0,1.0,0.0,1.0,0.10383888006210323
evolutionary,20,777,0.0,0.0,1.0,0.0,1.0,0.11476944446563717
evolutionary,20,999,0.0,0.0,1.0,0.0,1.0,0.12547978878021238
evolutionary,20,2026,0.0,0.0,1.0,0.0,1.0,0.11016138076782223
evolutionary,50,42,0.0,0.0,1.0,0.0,1.0,0.2842605805397034
evolutionary,50,123,0.0,0.0,1.0,0.0,1.0,0.29166043281555176
evolutionary,50,777,0.0,0.0,1.0,0.0,1.0,0.3239497756958008
evolutionary,50,999,0.0,0.0,1.0,0.0,1.0,0.34035311222076414
evolutionary,50,2026,0.0,0.0,1.0,0.0,1.0,0.314902241230011
mcmc,10,42,0.39810082912445066,0.31,1.0,0.0,6.73,0.03953921318054195
mcmc,10,123,0.3728644347190857,0.29,1.0,0.0,6.57,0.03685193061828609
mcmc,10,777,0.44480682849884035,0.35,1.0,0.0,6.51,0.028074278831481884
mcmc,10,999,0.4408311915397644,0.29,1.0,0.0,6.41,0.02772470951080317
mcmc,10,2026,0.39707183122634887,0.29,1.0,0.0,6.66,0.037152924537658644
mcmc,20,42,0.5421622681617737,0.42,1.0,0.0,11.32,0.06032969951629635
mcmc,20,123,0.5340017247200012,0.42,1.0,0.0,11.33,0.06680357217788692
mcmc,20,777,0.5393853306770324,0.43,1.0,0.0,11.35,0.06902638196945186
mcmc,20,999,0.4924000310897827,0.36,1.0,0.0,10.64,0.05766014337539668
mcmc,20,2026,0.5110871648788452,0.37,1.0,0.0,11.02,0.05657432794570919
mcmc,50,42,0.6177027988433837,0.49,1.0,0.0,23.02,0.13321927070617673
mcmc,50,123,0.6927739024162293,0.58,1.0,0.0,23.08,0.13323604106903073
mcmc,50,777,0.6526731705665588,0.55,1.0,0.0,23.4,0.12875170707702632
mcmc,50,999,0.6346145129203796,0.55,1.0,0.0,22.46,0.12438181877136227
mcmc,50,2026,0.613391306400299,0.44,1.0,0.0,23.13,0.13209362030029292
random,10,42,0.0,0.0,1.0,0.0,1.0,0.03926234483718868
random,10,123,0.0,0.0,1.0,0.0,1.0,0.03903715610504146
random,10,777,0.0,0.0,1.0,0.0,1.0,0.03822069168090816
random,10,999,0.0,0.0,1.0,0.0,1.0,0.038096699714660606
random,10,2026,0.0,0.0,1.0,0.0,1.0,0.038565461635589555
random,20,42,0.0,0.0,1.0,0.0,1.0,0.06076734304428097
random,20,123,0.0,0.0,1.0,0.0,1.0,0.0600929236412048
random,20,777,0.0,0.0,1.0,0.0,1.0,0.057881190776824916
random,20,999,0.0,0.0,1.0,0.0,1.0,0.0660573816299438
random,20,2026,0.0,0.0,1.0,0.0,1.0,0.06035026788711544
random,50,42,0.0,0.0,1.0,0.0,1.0,0.13303042650222777
random,50,123,0.0,0.0,1.0,0.0,1.0,0.14145099401473998
random,50,777,0.0,0.0,1.0,0.0,1.0,0.257465717792511
random,50,999,0.0,0.0,1.0,0.0,1.0,0.275926296710968
random,50,2026,0.0,0.0,1.0,0.0,1.0,0.15757389068603514
