polymer_id,original_representation,property_name,property_value,units,source_dataset
poly_0,CC(C([*])=O)O[*],Tg,331.8098359,K,openpoly
poly_1,COC(C([*])(C[*])C)=O,Tg,380.6654347,K,openpoly
poly_2,[*]OCCCCCC([*])=O,Tg,214.9123703,K,openpoly
poly_3,[*]CC(C)[*],Tg,278.7240379,K,openpoly
poly_4,[*]CC([*])O,Tg,347.3882594,K,openpoly
poly_5,[*]C(F)(C[*])F,Tg,246.0995283,K,openpoly
poly_6,CC(C([*])=O)O[*],Tg,332.3065643,K,openpoly
poly_7,[*][Si](C)(O[*])C,Tg,152.1758295,K,openpoly
poly_8,[*]C(C[*])C1=CC=CC=C1,Tg,370.8178093,K,openpoly
poly_9,[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,Tg,350.7739286,K,openpoly
poly_10,[*]CCO[*],Tg,227.0281712,K,openpoly
poly_11,[*]CC(C(NC(C)C)=O)[*],Tg,396.7294118,K,openpoly
poly_12,[*]C(C[*])C1=CC=CC=C1,Tg,371.1314305,K,openpoly
poly_13,[*]CC[*],Tg,248.2219178,K,openpoly
poly_14,[*]CCO[*],Tg,264.2440244,K,openpoly
poly_15,[*]C(C[*])C1=CC=CC=C1,Tg,237.3696721,K,openpoly
poly_16,CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,Tg,418.6883465,K,openpoly
poly_17,[*]CC(Cl)[*],Tg,348.831328,K,openpoly
poly_18,[*]CC(C)[*],Tg,273.27375,K,openpoly
poly_19,[*]CC([*])(C=C)C,Tg,536.734867,K,openpoly
poly_20,FC(F)(C(F)([*])F)[*],Tg,377.3797561,K,openpoly
poly_21,[*]OCCOC(CCC([*])=O)=O,Tg,485.5032864,K,openpoly
poly_22,[*]NCCCCCC([*])=O,Tg,327.7122059,K,openpoly
poly_23,[*]CC([*])C#N,Tg,370.3696914,K,openpoly
poly_24,[*]CC(C(NC(C)C)=O)[*],Tg,406.8547619,K,openpoly
poly_25,CC(CC([*])=O)O[*],Tg,276.005106,K,openpoly
poly_26,N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],Tg,408.7521429,K,openpoly
poly_27,[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,Tg,390.5578056,K,openpoly
poly_28,O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],Tg,376.5375,K,openpoly
poly_29,[*]CC(N1CCCC1=O)[*],Tg,420.3787449,K,openpoly
poly_30,[*]C1=C(CCCCCC)C=C([*])S1,Tg,316.5614894,K,openpoly
poly_31,[*]CC([*])C(O)=O,Tg,384.5403125,K,openpoly
poly_32,[*]CC[*],Tg,202.7506667,K,openpoly
poly_33,O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,Tg,553.9155118,K,openpoly
