pilot_id,variant,structure_file,surrogate_type,uncertainty_hash,oligomer_length,energy_conformer
pilot_0,capped_n2,results/surrogate_structure_pilot/pilot_0_capped_n2.sdf,CALIBRATABLE_SURROGATE,bc4686f3ec649e4ca431e5f0358b2f36,2,52.861243588870096
pilot_0,capped_n3,results/surrogate_structure_pilot/pilot_0_capped_n3.sdf,CALIBRATABLE_SURROGATE,bc4686f3ec649e4ca431e5f0358b2f36,3,85.11859983350578
pilot_0,capped_n4,results/surrogate_structure_pilot/pilot_0_capped_n4.sdf,CALIBRATABLE_SURROGATE,bc4686f3ec649e4ca431e5f0358b2f36,4,117.9306006218558
pilot_3,capped_n2,results/surrogate_structure_pilot/pilot_3_capped_n2.sdf,CALIBRATABLE_SURROGATE,8393735b53319c9b089457626d7be9ea,2,-7.4811167793045055
pilot_3,capped_n3,results/surrogate_structure_pilot/pilot_3_capped_n3.sdf,CALIBRATABLE_SURROGATE,8393735b53319c9b089457626d7be9ea,3,-10.322451897076597
pilot_3,capped_n4,results/surrogate_structure_pilot/pilot_3_capped_n4.sdf,CALIBRATABLE_SURROGATE,8393735b53319c9b089457626d7be9ea,4,-14.535374338503487
pilot_4,capped_n2,results/surrogate_structure_pilot/pilot_4_capped_n2.sdf,CALIBRATABLE_SURROGATE,01c401e3e42a0217b362e491ca1cbae7,2,11.690716708992472
pilot_4,capped_n3,results/surrogate_structure_pilot/pilot_4_capped_n3.sdf,CALIBRATABLE_SURROGATE,01c401e3e42a0217b362e491ca1cbae7,3,26.15614444806876
pilot_4,capped_n4,results/surrogate_structure_pilot/pilot_4_capped_n4.sdf,CALIBRATABLE_SURROGATE,01c401e3e42a0217b362e491ca1cbae7,4,41.22828365934191
pilot_5,capped_n2,results/surrogate_structure_pilot/pilot_5_capped_n2.sdf,CALIBRATABLE_SURROGATE,5d2440e8a689d54406b9c6ee96b9d3bd,2,0.045024451388112396
pilot_5,capped_n3,results/surrogate_structure_pilot/pilot_5_capped_n3.sdf,CALIBRATABLE_SURROGATE,5d2440e8a689d54406b9c6ee96b9d3bd,3,4.27760507069727
pilot_5,capped_n4,results/surrogate_structure_pilot/pilot_5_capped_n4.sdf,CALIBRATABLE_SURROGATE,5d2440e8a689d54406b9c6ee96b9d3bd,4,12.699271106511379
pilot_6,capped_n2,results/surrogate_structure_pilot/pilot_6_capped_n2.sdf,CALIBRATABLE_SURROGATE,42983b05e2f2cc22822e30beb7bdd668,2,16.065252195693013
pilot_6,capped_n3,results/surrogate_structure_pilot/pilot_6_capped_n3.sdf,CALIBRATABLE_SURROGATE,42983b05e2f2cc22822e30beb7bdd668,3,34.31941212258654
pilot_6,capped_n4,results/surrogate_structure_pilot/pilot_6_capped_n4.sdf,CALIBRATABLE_SURROGATE,42983b05e2f2cc22822e30beb7bdd668,4,52.78515058653096
pilot_8,capped_n2,results/surrogate_structure_pilot/pilot_8_capped_n2.sdf,CALIBRATABLE_SURROGATE,966eb3236731234c7397c9f2880e2716,2,45.454909514638615
pilot_8,capped_n3,results/surrogate_structure_pilot/pilot_8_capped_n3.sdf,CALIBRATABLE_SURROGATE,966eb3236731234c7397c9f2880e2716,3,76.63789288121488
pilot_8,capped_n4,results/surrogate_structure_pilot/pilot_8_capped_n4.sdf,CALIBRATABLE_SURROGATE,966eb3236731234c7397c9f2880e2716,4,107.11058248234565
