sample_id,strategy,query_number,best_drift
row_3026,random,0,0.0
row_3026,random,1,0.26297855377197266
row_3026,random,2,0.26297855377197266
row_3026,random,3,0.26297855377197266
row_3026,random,4,0.36522865295410156
row_3026,random,5,0.36522865295410156
row_3026,random,6,0.36522865295410156
row_3026,random,7,0.9401512145996094
row_3026,random,8,0.9401512145996094
row_3026,random,9,0.9401512145996094
row_3026,random,10,0.9401512145996094
row_3026,random,11,0.9401512145996094
row_3026,random,12,0.9401512145996094
row_3026,greedy,0,0.0
row_3026,greedy,1,0.26297855377197266
row_3026,greedy,2,0.26297855377197266
row_3026,greedy,3,0.741325855255127
row_3026,greedy,4,0.741325855255127
row_3026,greedy,5,0.741325855255127
row_3026,greedy,6,0.741325855255127
row_3026,greedy,7,0.741325855255127
row_3026,greedy,8,0.8828263282775879
row_3026,greedy,9,0.8828263282775879
row_3026,greedy,10,0.8828263282775879
row_3026,greedy,11,0.8828263282775879
row_3026,greedy,12,1.1024842262268066
row_3026,beam,0,0.0
row_3026,beam,1,0.26297855377197266
row_3026,beam,2,0.42125892639160156
row_3026,beam,3,1.5841526985168457
row_3026,beam,4,1.5841526985168457
row_3026,beam,5,1.5841526985168457
row_3026,beam,6,1.698338508605957
row_3026,beam,7,1.698338508605957
row_3026,beam,8,1.698338508605957
row_3026,beam,9,1.698338508605957
row_3026,beam,10,1.698338508605957
row_3026,beam,11,1.698338508605957
row_3026,beam,12,1.698338508605957
row_3026,metropolis_mcmc,0,0.0
row_3026,metropolis_mcmc,1,0.26297855377197266
row_3026,metropolis_mcmc,2,0.26297855377197266
row_3026,metropolis_mcmc,3,0.26297855377197266
row_3026,metropolis_mcmc,4,0.29519081115722656
row_3026,metropolis_mcmc,5,0.8075070381164551
row_3026,metropolis_mcmc,6,1.088383674621582
row_3026,metropolis_mcmc,7,1.6227374076843262
row_3026,metropolis_mcmc,8,1.6227374076843262
row_3026,metropolis_mcmc,9,1.6227374076843262
row_3026,metropolis_mcmc,10,1.6227374076843262
row_3026,metropolis_mcmc,11,1.6227374076843262
row_3026,metropolis_mcmc,12,1.6227374076843262
row_3026,evolutionary,0,0.0
row_3026,evolutionary,1,0.26297855377197266
row_3026,evolutionary,2,0.42125892639160156
row_3026,evolutionary,3,1.0853471755981445
row_3026,evolutionary,4,1.0853471755981445
row_3026,evolutionary,5,1.0853471755981445
row_3026,evolutionary,6,1.0853471755981445
row_3026,evolutionary,7,1.0853471755981445
row_3026,evolutionary,8,1.3554329872131348
row_3026,evolutionary,9,1.3554329872131348
row_3026,evolutionary,10,1.3554329872131348
row_3026,evolutionary,11,1.3554329872131348
row_3026,evolutionary,12,1.8031384944915771
row_3131,random,0,0.0
row_3131,random,1,0.08664417266845703
row_3131,random,2,0.08664417266845703
row_3131,random,3,0.12648725509643555
row_3131,random,4,0.36606335639953613
row_3131,random,5,0.36606335639953613
row_3131,random,6,0.36606335639953613
row_3131,random,7,0.36606335639953613
row_3131,random,8,0.6385164260864258
row_3131,random,9,0.6385164260864258
row_3131,random,10,0.6895003318786621
row_3131,random,11,0.6895003318786621
row_3131,random,12,0.6974124908447266
row_3131,greedy,0,0.0
row_3131,greedy,1,0.08664417266845703
row_3131,greedy,2,0.08664417266845703
row_3131,greedy,3,0.08664417266845703
row_3131,greedy,4,0.3641183376312256
row_3131,greedy,5,0.3641183376312256
row_3131,greedy,6,0.3641183376312256
row_3131,greedy,7,0.3641183376312256
row_3131,greedy,8,0.7607829570770264
row_3131,greedy,9,0.9785847663879395
row_3131,greedy,10,0.9785847663879395
row_3131,greedy,11,0.9785847663879395
row_3131,greedy,12,0.9785847663879395
row_3131,beam,0,0.0
row_3131,beam,1,0.08664417266845703
row_3131,beam,2,0.08664417266845703
row_3131,beam,3,0.08664417266845703
row_3131,beam,4,0.3641183376312256
row_3131,beam,5,0.3641183376312256
row_3131,beam,6,0.3641183376312256
row_3131,beam,7,0.3641183376312256
row_3131,beam,8,0.3641183376312256
row_3131,beam,9,0.3641183376312256
row_3131,beam,10,0.3641183376312256
row_3131,beam,11,0.3641183376312256
row_3131,beam,12,0.6634678840637207
row_3131,metropolis_mcmc,0,0.0
row_3131,metropolis_mcmc,1,0.08664417266845703
row_3131,metropolis_mcmc,2,0.08664417266845703
row_3131,metropolis_mcmc,3,0.08664417266845703
row_3131,metropolis_mcmc,4,0.6634678840637207
row_3131,metropolis_mcmc,5,0.6634678840637207
row_3131,metropolis_mcmc,6,0.6634678840637207
row_3131,metropolis_mcmc,7,0.6634678840637207
row_3131,metropolis_mcmc,8,0.8632102012634277
row_3131,metropolis_mcmc,9,1.0433716773986816
row_3131,metropolis_mcmc,10,1.0433716773986816
row_3131,metropolis_mcmc,11,1.0433716773986816
row_3131,metropolis_mcmc,12,1.0433716773986816
row_3131,evolutionary,0,0.0
row_3131,evolutionary,1,0.08664417266845703
row_3131,evolutionary,2,0.49394798278808594
row_3131,evolutionary,3,0.49394798278808594
row_3131,evolutionary,4,0.49394798278808594
row_3131,evolutionary,5,0.49394798278808594
row_3131,evolutionary,6,0.49394798278808594
row_3131,evolutionary,7,0.7624905109405518
row_3131,evolutionary,8,0.7624905109405518
row_3131,evolutionary,9,0.7624905109405518
row_3131,evolutionary,10,0.7624905109405518
row_3131,evolutionary,11,0.7624905109405518
row_3131,evolutionary,12,0.7624905109405518
row_2965,random,0,0.0
row_2965,random,1,0.19837522506713867
row_2965,random,2,0.2459859848022461
row_2965,random,3,0.3135972023010254
row_2965,random,4,0.4219179153442383
row_2965,random,5,0.4219179153442383
row_2965,random,6,0.4708681106567383
row_2965,random,7,0.4708681106567383
row_2965,random,8,0.4708681106567383
row_2965,random,9,0.4708681106567383
row_2965,random,10,0.4708681106567383
row_2965,random,11,0.4708681106567383
row_2965,random,12,0.5843620300292969
row_2965,greedy,0,0.0
row_2965,greedy,1,0.19837522506713867
row_2965,greedy,2,0.2459859848022461
row_2965,greedy,3,0.3135972023010254
row_2965,greedy,4,0.3632984161376953
row_2965,greedy,5,0.4219179153442383
row_2965,greedy,6,0.4219179153442383
row_2965,greedy,7,0.5727319717407227
row_2965,greedy,8,0.6428980827331543
row_2965,greedy,9,0.6428980827331543
row_2965,greedy,10,0.6428980827331543
row_2965,greedy,11,0.7987923622131348
row_2965,greedy,12,0.7987923622131348
row_2965,beam,0,0.0
row_2965,beam,1,0.19837522506713867
row_2965,beam,2,0.31830549240112305
row_2965,beam,3,0.31830549240112305
row_2965,beam,4,0.31830549240112305
row_2965,beam,5,0.547182559967041
row_2965,beam,6,0.547182559967041
row_2965,beam,7,0.547182559967041
row_2965,beam,8,0.547182559967041
row_2965,beam,9,0.547182559967041
row_2965,beam,10,0.547182559967041
row_2965,beam,11,0.7017302513122559
row_2965,beam,12,0.7017302513122559
row_2965,metropolis_mcmc,0,0.0
row_2965,metropolis_mcmc,1,0.19837522506713867
row_2965,metropolis_mcmc,2,0.2459859848022461
row_2965,metropolis_mcmc,3,0.3135972023010254
