sample_id,proposal_seed,policy_seed,strategy,original_representation,best_representation,original_prediction,best_prediction,best_drift,candidate_query_budget,candidate_model_queries,total_model_queries,candidate_proposals,representation_valid_candidates,valid_candidates,accepted_candidates,acceptance_rate,perturbation_size,elapsed_seconds,proposal_operators,drift_per_model_query,query_budget_exhausted
row_3026,20260910,20260911,random,[*]COC(S1)=CC=C1O[*],[*][Si]OC(S1)C=C1O[*],5.252013683319092,4.311862468719482,0.9401512145996094,12,12,13,48,14,14,0,,3,0.025423720000162575,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.07834593454996745,True
row_3026,20260910,20260912,greedy,[*]COC(S1)=CC=C1O[*],[*]CO[Si]C(PS1)/CC=C1O[*],5.252013683319092,6.354497909545898,1.1024842262268066,12,12,13,76,13,13,4,0.3076923076923077,3,0.024427793999620917,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.09187368551890056,True
row_3026,20260910,20260913,beam,[*]COC(S1)=CC=C1O[*],[*]COC(SP1)=C=IC1O[*],5.252013683319092,3.5536751747131348,1.698338508605957,12,12,13,27,13,13,0,,3,0.016673297000124876,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.14152820905049643,True
row_3026,20260910,20260914,metropolis_mcmc,[*]COC(S1)=CC=C1O[*],[*][Si]OC(S1)=C=S1O[*],5.252013683319092,3.6292762756347656,1.6227374076843262,12,12,13,98,15,15,6,0.4,3,0.032693815999664366,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.1352281173070272,True
row_3026,20260910,20260915,evolutionary,[*]COC(S1)=CC=C1O[*],[*]COC(S1)=C=S1O[*],5.252013683319092,3.4488751888275146,1.8031384944915771,12,12,13,24,12,12,0,,2,0.02293399300015153,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.15026154120763144,True
row_3131,20261919,20261920,random,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]CC([*])c1cc(C(F)(F)F)oc1C(O)(S)F,3.722729206085205,4.420141696929932,0.6974124908447266,12,12,13,91,13,13,0,,3,0.05605585200009955,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.05811770757039388,True
row_3131,20261919,20261921,greedy,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]C=C([*])c1cc(C(F)(Cl)F)oc1C(C)(S)F,3.722729206085205,2.7441444396972656,0.9785847663879395,12,12,13,79,12,12,4,0.3333333333333333,3,0.05211501799976759,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.08154873053232829,True
row_3131,20261919,20261922,beam,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]C=C([*])c1cc(C(F)(F)F)oc1C(C)(S)F,3.722729206085205,3.0592613220214844,0.6634678840637207,12,12,13,23,12,12,0,,2,0.030377028999737377,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.055288990338643394,True
row_3131,20261919,20261923,metropolis_mcmc,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]S=C([*])c1cc(C(F)(F)F)oc1C(C)(S)F,3.722729206085205,2.6793575286865234,1.0433716773986816,12,12,13,64,13,13,6,0.46153846153846156,3,0.046324081999955524,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.08694763978322347,True
row_3131,20261919,20261924,evolutionary,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]C=C([*])c1cc(C(Cl)(F)F)oc1C(F)(S)F,3.722729206085205,2.9602386951446533,0.7624905109405518,12,12,13,24,12,12,0,,2,0.03126220399963131,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.06354087591171265,True
