sample_id,proposal_seed,policy_seed,strategy,original_representation,best_representation,original_prediction,best_prediction,best_drift,candidate_query_budget,candidate_model_queries,total_model_queries,candidate_proposals,representation_valid_candidates,valid_candidates,accepted_candidates,acceptance_rate,perturbation_size,elapsed_seconds,proposal_operators,drift_per_model_query,query_budget_exhausted
row_3026,20260910,20260911,random,[*]COC(S1)=CC=C1O[*],[*]SOC(S1)=sCC1O[*],5.252013683319092,2.985950469970703,2.2660632133483887,30,30,31,204,52,52,0,,3,0.09090252500027418,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.07553544044494628,True
row_3026,20260910,20260912,greedy,[*]COC(S1)=CC=C1O[*],[*]CO[Si]C(OS1)/CC=C1O[*],5.252013683319092,6.447936058044434,1.1959223747253418,30,30,31,223,47,47,5,0.10638297872340426,3,0.09351946800006772,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.039864079157511396,True
row_3026,20260910,20260913,beam,[*]COC(S1)=CC=C1O[*],[*]COC(SP1)=C=IC1O[*],5.252013683319092,3.5536751747131348,1.698338508605957,30,30,31,81,35,35,0,,3,0.05884563400013576,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.056611283620198564,True
row_3026,20260910,20260914,metropolis_mcmc,[*]COC(S1)=CC=C1O[*],[*]OC(S1)=Cs=S1O[*],5.252013683319092,1.7509942054748535,3.5010194778442383,30,30,31,352,51,51,12,0.23529411764705882,3,0.11036850000027698,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.11670064926147461,True
row_3026,20260910,20260915,evolutionary,[*]COC(S1)=CC=C1O[*],[*]COC(SP1)=cC\C=C1O[*],5.252013683319092,3.256333827972412,1.9956798553466797,30,30,31,67,30,30,30,1.0,3,0.05621860400015066,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.06652266184488932,True
row_3131,20261919,20261920,random,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]C/C([*])c1cc(C(F)(F)F)oc1C(P)(F),3.722729206085205,5.141484260559082,1.418755054473877,30,30,31,554,35,35,0,,3,0.1641448630002742,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.047291835149129234,True
row_3131,20261919,20261921,greedy,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]C=C([*])c1cc(C(F)(Cl)F)oc1C(C)(S)F,3.722729206085205,2.7441444396972656,0.9785847663879395,30,30,31,859,53,53,4,0.07547169811320754,3,0.2532304859996657,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.03261949221293132,True
row_3131,20261919,20261922,beam,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]CP([*])c1cc(C(F)(F)F)oc1C(N)(F)F,3.722729206085205,4.763356685638428,1.0406274795532227,30,30,31,128,30,30,0,,3,0.06728948499994658,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.03468758265177409,True
row_3131,20261919,20261923,metropolis_mcmc,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]S=C([*])c1cc(C(F)(F)F)oc1C(C)(S)F,3.722729206085205,2.6793575286865234,1.0433716773986816,30,30,31,1092,92,92,7,0.07608695652173914,3,0.3573697980000361,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.034779055913289385,True
row_3131,20261919,20261924,evolutionary,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,[*]S=C([*])c1cc(C(F)(F)IF)oc1C(F)(S)F,3.722729206085205,2.7333288192749023,0.9894003868103027,30,30,31,144,33,33,33,1.0,3,0.10989237800004048,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.03298001289367676,True
row_2965,20262928,20262929,random,[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]NCCCC(=O)C#CCCCNC(=O)CCCCS[*],5.141987323760986,3.5943312644958496,1.5476560592651367,30,30,31,182,37,37,0,,3,0.13213198299990836,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.05158853530883789,True
row_2965,20262928,20262930,greedy,[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]C=CCC(=O)ICSCCCCNC(=O)CCCCS[*],5.141987323760986,2.8414855003356934,2.300501823425293,30,30,31,281,60,60,14,0.23333333333333334,3,0.18357604000038918,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.07668339411417643,True
row_2965,20262928,20262931,beam,[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]NCCC(=O)SCCCCCCNC(=O)CCCCS[*],5.141987323760986,4.129410743713379,1.0125765800476074,30,30,31,131,37,37,0,,3,0.09868778300005943,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.03375255266825358,True
row_2965,20262928,20262932,metropolis_mcmc,[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]CCCC(=O)NCCSCCCNC(\O)CCCCS[*],5.141987323760986,4.413138389587402,0.728848934173584,30,30,31,193,54,54,15,0.2777777777777778,3,0.1284482940000089,"['substitution', 'insertion', 'deletion', 'rearrangement']",0.024294964472452798,True
