Q,strategy,operator,source_id,declared_budget,queries_counted_by_budget,predictor_predict_calls,molecules_sent_to_model,raw_proposals,valid_proposals,duplicate_valid_proposals,unique_valid_proposals
10,Random,SimpleSubst,3167,10,10,24,8,27,27,8,19
10,Random,SimpleSubst,3128,10,10,24,11,38,38,0,38
10,Random,SimpleSubst,3364,10,10,24,10,39,39,4,35
10,Random,SimpleSubst,3414,10,10,24,9,48,48,6,42
10,Random,SimpleSubst,3539,10,10,24,9,21,21,8,13
10,Random,SimpleSubst,2958,10,10,24,11,89,89,0,89
10,Random,SimpleSubst,3459,10,10,24,10,50,50,4,46
10,Random,SimpleSubst,3385,10,10,24,8,14,14,0,14
10,Random,SimpleSubst,3281,10,10,24,10,55,55,4,51
10,Random,SimpleSubst,3449,10,10,24,11,35,35,0,35
10,Random,SimpleSubst,3350,10,10,24,8,29,29,6,23
10,Random,SimpleSubst,3572,10,10,24,10,53,53,0,53
10,Random,SimpleSubst,3201,10,10,24,8,30,30,0,30
10,Random,SimpleSubst,3453,10,10,24,11,36,36,2,34
10,Random,SimpleSubst,3482,10,10,24,8,26,26,2,24
10,Random,SimpleSubst,3381,10,10,24,6,27,27,8,19
10,Random,SimpleSubst,3422,10,10,24,11,34,34,0,34
10,Random,SimpleSubst,3176,10,10,24,10,50,50,0,50
10,Random,SimpleSubst,3200,10,10,24,9,17,17,2,15
10,Random,SimpleSubst,3427,10,10,24,10,56,56,0,56
10,Random,SimpleSubst,3258,10,10,24,11,40,40,0,40
10,Random,SimpleSubst,3295,10,10,24,10,57,57,4,53
10,Random,SimpleSubst,3471,10,10,24,8,15,15,2,13
10,Random,SimpleSubst,3537,10,10,24,11,47,47,6,41
10,Random,SimpleSubst,3008,10,10,24,11,67,67,10,57
10,Random,SimpleSubst,3411,10,10,24,11,38,38,0,38
10,Random,SimpleSubst,3361,10,10,24,11,74,74,0,74
10,Random,SimpleSubst,3084,10,10,24,9,18,18,0,18
10,Random,SimpleSubst,3132,10,10,24,11,47,47,8,39
10,Random,SimpleSubst,3430,10,10,24,8,26,26,2,24
10,Random,Motif,3167,10,10,24,0,1,1,0,1
10,Random,Motif,3128,10,10,24,6,18,18,0,18
10,Random,Motif,3364,10,10,24,1,1,0,0,0
10,Random,Motif,3414,10,10,24,6,18,18,0,18
10,Random,Motif,3539,10,10,24,1,3,3,0,3
10,Random,Motif,2958,10,10,24,9,50,50,0,50
10,Random,Motif,3459,10,10,24,7,25,25,0,25
10,Random,Motif,3385,10,10,24,0,2,2,0,2
10,Random,Motif,3281,10,10,24,1,1,0,0,0
10,Random,Motif,3449,10,10,24,5,14,14,0,14
10,Random,Motif,3350,10,10,24,5,11,11,0,11
10,Random,Motif,3572,10,10,24,6,26,26,0,26
10,Random,Motif,3201,10,10,24,1,1,0,0,0
10,Random,Motif,3453,10,10,24,1,1,0,0,0
10,Random,Motif,3482,10,10,24,1,1,0,0,0
10,Random,Motif,3381,10,10,24,2,3,3,0,3
10,Random,Motif,3422,10,10,24,5,20,20,0,20
10,Random,Motif,3176,10,10,24,6,26,26,0,26
10,Random,Motif,3200,10,10,24,1,5,5,0,5
10,Random,Motif,3427,10,10,24,6,24,24,0,24
10,Random,Motif,3258,10,10,24,5,16,16,0,16
10,Random,Motif,3295,10,10,24,8,23,23,0,23
10,Random,Motif,3471,10,10,24,2,4,4,0,4
10,Random,Motif,3537,10,10,24,5,19,19,0,19
10,Random,Motif,3008,10,10,24,6,10,10,0,10
10,Random,Motif,3411,10,10,24,5,16,16,0,16
10,Random,Motif,3361,10,10,24,10,40,40,0,40
10,Random,Motif,3084,10,10,24,3,11,11,0,11
10,Random,Motif,3132,10,10,24,7,17,17,0,17
10,Random,Motif,3430,10,10,24,3,4,4,0,4
10,Greedy,SimpleSubst,3167,10,10,26,5,27,27,8,19
10,Greedy,SimpleSubst,3128,10,10,26,4,38,38,0,38
10,Greedy,SimpleSubst,3364,10,10,26,5,39,39,4,35
10,Greedy,SimpleSubst,3414,10,10,26,4,48,48,6,42
10,Greedy,SimpleSubst,3539,10,10,26,2,21,21,8,13
10,Greedy,SimpleSubst,2958,10,10,26,8,89,89,0,89
10,Greedy,SimpleSubst,3459,10,10,26,5,50,50,4,46
10,Greedy,SimpleSubst,3385,10,10,26,5,14,14,0,14
10,Greedy,SimpleSubst,3281,10,10,26,6,55,55,4,51
10,Greedy,SimpleSubst,3449,10,10,26,5,35,35,0,35
10,Greedy,SimpleSubst,3350,10,10,26,4,29,29,6,23
10,Greedy,SimpleSubst,3572,10,10,26,6,53,53,0,53
10,Greedy,SimpleSubst,3201,10,10,26,5,30,30,0,30
10,Greedy,SimpleSubst,3453,10,10,26,5,36,36,2,34
10,Greedy,SimpleSubst,3482,10,10,26,5,26,26,2,24
10,Greedy,SimpleSubst,3381,10,10,26,3,27,27,8,19
10,Greedy,SimpleSubst,3422,10,10,26,4,34,34,0,34
10,Greedy,SimpleSubst,3176,10,10,26,6,50,50,0,50
10,Greedy,SimpleSubst,3200,10,10,26,2,17,17,2,15
10,Greedy,SimpleSubst,3427,10,10,26,6,56,56,0,56
10,Greedy,SimpleSubst,3258,10,10,26,3,40,40,0,40
10,Greedy,SimpleSubst,3295,10,10,26,5,57,57,4,53
10,Greedy,SimpleSubst,3471,10,10,26,3,15,15,2,13
10,Greedy,SimpleSubst,3537,10,10,26,4,47,47,6,41
10,Greedy,SimpleSubst,3008,10,10,26,8,67,67,10,57
10,Greedy,SimpleSubst,3411,10,10,26,3,38,38,0,38
10,Greedy,SimpleSubst,3361,10,10,26,8,74,74,0,74
10,Greedy,SimpleSubst,3084,10,10,26,4,18,18,0,18
10,Greedy,SimpleSubst,3132,10,10,26,6,47,47,8,39
10,Greedy,SimpleSubst,3430,10,10,26,4,26,26,2,24
10,Greedy,Motif,3167,10,1,8,0,1,1,0,1
10,Greedy,Motif,3128,10,10,26,3,18,18,0,18
10,Greedy,Motif,3364,10,1,8,0,1,0,0,0
10,Greedy,Motif,3414,10,10,26,2,18,18,0,18
10,Greedy,Motif,3539,10,4,16,1,3,3,0,3
10,Greedy,Motif,2958,10,10,26,2,50,50,0,50
10,Greedy,Motif,3459,10,10,26,3,25,25,0,25
10,Greedy,Motif,3385,10,2,10,0,2,2,0,2
10,Greedy,Motif,3281,10,1,8,0,1,0,0,0
10,Greedy,Motif,3449,10,10,26,2,14,14,0,14
10,Greedy,Motif,3350,10,10,26,1,11,11,0,11
10,Greedy,Motif,3572,10,10,26,3,26,26,0,26
10,Greedy,Motif,3201,10,1,8,0,1,0,0,0
10,Greedy,Motif,3453,10,1,8,0,1,0,0,0
10,Greedy,Motif,3482,10,1,8,0,1,0,0,0
10,Greedy,Motif,3381,10,4,16,1,3,3,0,3
10,Greedy,Motif,3422,10,10,26,3,20,20,0,20
10,Greedy,Motif,3176,10,10,26,3,26,26,0,26
10,Greedy,Motif,3200,10,9,28,4,5,5,0,5
10,Greedy,Motif,3427,10,10,26,4,24,24,0,24
10,Greedy,Motif,3258,10,10,26,2,16,16,0,16
10,Greedy,Motif,3295,10,10,26,5,23,23,0,23
10,Greedy,Motif,3471,10,6,20,2,4,4,0,4
10,Greedy,Motif,3537,10,10,26,1,19,19,0,19
10,Greedy,Motif,3008,10,10,26,3,10,10,0,10
10,Greedy,Motif,3411,10,10,26,2,16,16,0,16
10,Greedy,Motif,3361,10,10,26,1,40,40,0,40
10,Greedy,Motif,3084,10,10,26,2,11,11,0,11
10,Greedy,Motif,3132,10,10,26,2,17,17,0,17
10,Greedy,Motif,3430,10,9,28,5,4,4,0,4
10,Evolutionary,SimpleSubst,3167,10,10,24,0,27,27,8,19
10,Evolutionary,SimpleSubst,3128,10,10,24,0,38,38,0,38
10,Evolutionary,SimpleSubst,3364,10,10,24,0,39,39,4,35
10,Evolutionary,SimpleSubst,3414,10,10,24,0,48,48,6,42
10,Evolutionary,SimpleSubst,3539,10,10,24,0,21,21,8,13
10,Evolutionary,SimpleSubst,2958,10,10,24,0,89,89,0,89
10,Evolutionary,SimpleSubst,3459,10,10,24,0,50,50,4,46
10,Evolutionary,SimpleSubst,3385,10,10,24,0,14,14,0,14
10,Evolutionary,SimpleSubst,3281,10,10,24,0,55,55,4,51
10,Evolutionary,SimpleSubst,3449,10,10,24,0,35,35,0,35
10,Evolutionary,SimpleSubst,3350,10,10,24,0,29,29,6,23
10,Evolutionary,SimpleSubst,3572,10,10,24,0,53,53,0,53
10,Evolutionary,SimpleSubst,3201,10,10,24,0,30,30,0,30
10,Evolutionary,SimpleSubst,3453,10,10,24,0,36,36,2,34
10,Evolutionary,SimpleSubst,3482,10,10,24,0,26,26,2,24
10,Evolutionary,SimpleSubst,3381,10,10,24,2,27,27,8,19
10,Evolutionary,SimpleSubst,3422,10,10,24,0,34,34,0,34
10,Evolutionary,SimpleSubst,3176,10,10,24,0,50,50,0,50
10,Evolutionary,SimpleSubst,3200,10,10,24,0,17,17,2,15
10,Evolutionary,SimpleSubst,3427,10,10,24,0,56,56,0,56
10,Evolutionary,SimpleSubst,3258,10,10,24,0,40,40,0,40
10,Evolutionary,SimpleSubst,3295,10,10,24,0,57,57,4,53
10,Evolutionary,SimpleSubst,3471,10,10,24,0,15,15,2,13
