origin,index,smiles,in_split
developmental_recorded,1963,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc([*])c([N-][N+]#N)c4)cc3[N-][N+]#N)cc2)cc1,train
developmental_recorded,1497,[*]CCNC(=O)CCCCCCCCCCCCCCC(=O)N[*],train
developmental_recorded,4122,[*]CCCNC(=O)O[*],test
developmental_recorded,192,[*]Nc1cc([*])ccc1CCCCCC,train
developmental_recorded,1534,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)c(OC)c3)cc1OC)C2=O,train
developmental_recorded,3973,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test
developmental_recorded,1698,[*]C(=O)NCCCCCCNC(=O)C1=COC=C([*])O1,train
developmental_recorded,2133,[*]c1ccc2oc([*])nc2c1,train
developmental_recorded,1875,[*]CC(CC)O[*],train
developmental_recorded,726,[*]Oc1ccc(CCNC(=O)c2cccc(C([*])=O)c2)cc1,train
developmental_recorded,1647,[*]Oc1cccc(NC(=O)c2cccc(C(=O)Nc3ccc([*])cc3)c2)c1,train
developmental_recorded,4134,[*]CC(CO[*])(CSCC)CSCC,test
developmental_recorded,2870,[*]CCCCSCCCS[*],train
developmental_recorded,1113,C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S),train
developmental_recorded,2788,[*]Nc1ccc(-c2ccc(NC(=C(C#N)C#N)c3ccc(-c4ccc(C([*])=C(C#N)C#N)cc4)cc3)cc2)cc1,train
developmental_recorded,2684,NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3,train
developmental_recorded,1553,[*]CC1(CO[*])CC=C(C)CC1,train
developmental_recorded,729,[*]Cc1ccc(COC(=O)Cc2ccc(C(=O)O[*])cc2)cc1,train
developmental_recorded,4152,[*]CC([*])(Cl)C#N,test
developmental_recorded,2215,[*]CCOC(=O)Nc1ccc(CCCc2ccc(NC(=O)O[*])cc2)cc1,train
developmental_recorded,174,[*]c1cc(-c2nc3ccccc3oc2=O)cc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c1,train
developmental_recorded,1289,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc([*])n2)c1,train
developmental_recorded,1957,[*]CCCCCCCCCCCCCCOC(=O)CCCCC(=O)O[*],train
developmental_recorded,325,[*]CC(O)COC(=O)CC(=CC(=O)O[*])c1cc(C)ccc1OC,train
developmental_recorded,2518,[*]CCCCCCCCCCNC(=N[*])c1ccccc1,train
developmental_recorded,1606,[*]CC=CCOC(=O)NCCCCCCNC(=O)O[*],train
developmental_recorded,2466,[*]c1ccc(-n2ccc(-c3ccc(-c4ccn([*])n4)cc3)n2)cc1,train
developmental_recorded,3654,[*]Sc1ccc(C=Nc2ccc(N=Cc3ccc([*])cc3)cc2)cc1,test
developmental_recorded,2902,[*]CC(C=C1)=CC=C1CC(=S)[*],train
developmental_recorded,1654,[*]c1ccc(C(C)(C)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,train
audit_rebuilt_val_only,3167,[*]C(F)C([*])(F)OC(F)(F)F,val
