substitution_matched,site_was_aromatic,site_bonds_to_wildcard,site_element_from,site_element_to,source_id,source_representation,candidate_representation,operator,strategy,Q,edit_count,independent_edit_count,string_edit_distance,element_change_count,bond_count_delta,graph_change_proxy,source_prediction_eV,candidate_prediction_eV,absolute_drift_eV,source_atom_count,candidate_atom_count,atom_delta,heavy_atom_delta,formal_charge_delta,components,parse_ok,sanitize_ok,valence_ok,wildcards_source,wildcards_candidate,valid,attachment_valid,differs_from_source,prediction_range_class
True,False,0.0,F,C,3167,[*]C(F)C([*])(F)OC(F)(F)F,*C(F)C(*)(C)OC(F)(F)F,SimpleSubst,Random,10,1,1,3,1,0,1,7.237398147583008,6.989066123962402,0.24833202362060547,11,11,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,False,0.0,O,S,3128,[*]OC(C)CCOC(=O)CCCCC([*])=O,*OC(C)CCOC(=O)CCCCC(*)=S,SimpleSubst,Random,10,1,1,3,1,0,1,6.378620147705078,5.182988166809082,1.195631980895996,16,16,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,True,0.0,C,S,3364,[*]Nc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C([*])=O)c2)cc1,*NC1=CC=S(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C(*)=O)c2)C=C1,SimpleSubst,Random,10,1,1,11,1,0,1,3.467644691467285,2.9340686798095703,0.5335760116577148,29,29,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,False,0.0,C,S,3414,[*]CC1CCC(COC(=O)CCCCC(=O)O[*])CC1,*CC1CCC(COC(=O)CCCCC(=O)O*)CS1,SimpleSubst,Random,10,1,1,3,1,0,1,6.599419593811035,5.934930324554443,0.6644892692565918,20,20,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,False,1.0,O,S,3539,[*]CC(O[*])C(F)(F)F,*CC(S*)C(F)(F)F,SimpleSubst,Random,10,1,1,3,1,0,1,6.81688117980957,5.245861530303955,1.5710196495056152,9,9,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,False,0.0,C,S,2958,[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],*CCCCCCCNC(=O)CCCCCCCCCCCCCSCCCCC(=O)N*,SimpleSubst,Random,10,1,1,3,1,0,1,5.916501998901367,5.348831653594971,0.5676703453063965,33,33,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,False,0.0,C,S,3459,N([*])CC(C)(C)CC(C)CNC(=O)CCCCC(=O)([*]),*NCC(C)(C)SC(C)CNC(=O)CCCCC(*)=O,SimpleSubst,Random,10,1,1,10,1,0,1,5.8339996337890625,5.163974285125732,0.6700253486633301,20,20,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,True,0.0,S,O,3385,[*]CNOC(S1)=CC=C1[*],*CNOc1ccc(*)o1,SimpleSubst,Random,10,1,1,12,1,0,1,3.9756360054016113,4.571956157684326,0.5963201522827148,10,10,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,True,0.0,C,S,3281,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,*C(=O)C1=CC=C2C(=O)N(c3ccc(C(=O)Nc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)C(=O)S2=C1,SimpleSubst,Random,10,1,1,27,1,0,1,2.7069849967956543,2.385770559310913,0.3212144374847412,41,41,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
True,False,0.0,O,S,3449,[*]OC(C)CCOC(=O)COCC([*])=O,*OC(C)CCOC(=O)COCC(*)=S,SimpleSubst,Random,10,1,1,3,1,0,1,6.135988712310791,4.859877586364746,1.276111125946045,15,15,0,0,0,1,True,True,True,2,2,True,True,True,IN_TRAIN_RANGE
