Strategy,Operator,Q,Mean Drift,Max Drift,Mean Queries
Random,SimpleSubst,10,0.7722861766815186,1.7947497367858887,10.0
Random,Motif,10,0.21114479700724284,0.6587386131286621,10.0
Greedy,SimpleSubst,10,0.8503667275110881,1.5710196495056152,10.0
Greedy,Motif,10,0.24406524499257407,1.2732398509979248,7.333333333333333
Evolutionary,SimpleSubst,10,0.8874160369237264,1.5710196495056152,10.0
Evolutionary,Motif,10,0.24406524499257407,1.2732398509979248,7.366666666666666
Random,SimpleSubst,20,0.9309454441070557,1.7947497367858887,20.0
Random,Motif,20,0.2343138058980306,0.6587386131286621,20.0
Greedy,SimpleSubst,20,1.009793512026469,2.398590087890625,20.0
Greedy,Motif,20,0.3179488738377889,1.2732398509979248,13.333333333333334
Evolutionary,SimpleSubst,20,1.0593757390975953,2.520846128463745,20.0
Evolutionary,Motif,20,0.3178549289703369,1.2732398509979248,13.4
Random,SimpleSubst,50,1.0249766826629638,2.358833074569702,50.0
Random,Motif,50,0.2515359878540039,0.6587386131286621,50.0
Greedy,SimpleSubst,50,1.3840710798899332,2.9280407428741455,49.733333333333334
Greedy,Motif,50,0.47397156556447345,1.2732398509979248,27.666666666666668
Evolutionary,SimpleSubst,50,1.3787526925404867,2.9280407428741455,50.0
Evolutionary,Motif,50,0.432764728864034,1.2732398509979248,30.3
