source_id,source_representation,candidate_representation,operator,strategy,edit_count,independent_edit_count,source_prediction_eV,candidate_prediction_eV,absolute_drift_eV,source_atom_count,candidate_atom_count,formal_charge_delta,valid,attachment_valid,prediction_range_class,Q,string_edit_distance,element_change_count,atom_delta,components,substitution_matched,site_was_aromatic,site_bonds_to_wildcard,site_element_from,site_element_to
3381,C(F)(F)CC(F)(F)C(=S),O=CS(F)(F)CC(F)F,SimpleSubst,Evolutionary,2,1,3.425586462020874,6.3536272048950195,2.9280407428741455,9,9,0,True,True,IN_TRAIN_RANGE,50,10,1,0,1,False,,,,
3381,C(F)(F)CC(F)(F)C(=S),O=CC(F)(F)CC(F)F,SimpleSubst,Evolutionary,1,1,3.425586462020874,5.946432590484619,2.520846128463745,9,9,0,True,True,IN_TRAIN_RANGE,20,10,1,0,1,True,False,0.0,S,O
3084,[*]c1cc(CCCC)c([*])s1,*c1nc(CCCN)c(*)o1,SimpleSubst,Greedy,3,3,2.3371214866638184,4.830178737640381,2.4930572509765625,11,11,0,True,True,IN_TRAIN_RANGE,50,5,3,0,1,False,,,,
3084,[*]c1cc(CCCC)c([*])s1,*c1nc(CCCC)c(*)o1,SimpleSubst,Evolutionary,2,2,2.3371214866638184,4.735711574554443,2.398590087890625,11,11,0,True,True,IN_TRAIN_RANGE,20,4,2,0,1,False,,,,
3381,C(F)(F)CC(F)(F)C(=S),N=CC(F)(F)CC(F)F,SimpleSubst,Random,1,1,3.425586462020874,5.784419536590576,2.358833074569702,9,9,0,True,True,IN_TRAIN_RANGE,50,10,1,0,1,True,False,0.0,S,N
3350,[*]CCN([*])C(=O)C1CCCCC1,*CSN(*)C(=S)C1CCCCC1,SimpleSubst,Evolutionary,2,2,5.892340660095215,3.6041207313537598,2.288219928741455,13,13,0,True,True,IN_TRAIN_RANGE,50,4,2,0,1,False,,,,
3471,[*]CNCC(C=C1)=CC=C1[*],*CSSS1=CC=C(*)C=C1,SimpleSubst,Greedy,3,3,4.566598892211914,2.3159260749816895,2.2506728172302246,11,11,0,True,True,IN_TRAIN_RANGE,50,12,3,0,1,False,,,,
3539,[*]CC(O[*])C(F)(F)F,*SN(S*)C(F)(F)F,SimpleSubst,Greedy,3,3,6.81688117980957,4.697139263153076,2.119741916656494,9,9,0,True,True,IN_TRAIN_RANGE,50,5,3,0,1,False,,,,
3200,[*]CC([*])OCc1ccccc1,*CC(*)SSS1=CC=CC=C1,SimpleSubst,Greedy,3,3,5.3933587074279785,3.386652946472168,2.0067057609558105,12,12,0,True,True,IN_TRAIN_RANGE,50,13,3,0,1,False,,,,
3539,[*]CC(O[*])C(F)(F)F,*SC(S*)C(F)(F)F,SimpleSubst,Evolutionary,2,2,6.81688117980957,4.82237434387207,1.9945068359375,9,9,0,True,True,IN_TRAIN_RANGE,50,4,2,0,1,False,,,,
3411,[*]CCCCCCOC(=O)CCC(=O)O[*],*OC(=S)CCC(=O)OCCCCCS*,SimpleSubst,Evolutionary,2,2,6.64481258392334,4.661435604095459,1.9833769798278809,16,16,0,True,True,IN_TRAIN_RANGE,50,14,2,0,1,False,,,,
3200,[*]CC([*])OCc1ccccc1,*NC(*)OSS1=CC=CC=C1,SimpleSubst,Evolutionary,3,3,5.3933587074279785,3.45702862739563,1.9363300800323486,12,12,0,True,True,IN_TRAIN_RANGE,50,13,3,0,1,False,,,,
3449,[*]OC(C)CCOC(=O)COCC([*])=O,*SC(C)CCOC(=O)COCC(*)=S,SimpleSubst,Greedy,2,2,6.135988712310791,4.303667068481445,1.8323216438293457,15,15,0,True,True,IN_TRAIN_RANGE,50,4,2,0,1,False,,,,
3084,[*]c1cc(CCCC)c([*])s1,*c1cc(CCCC)c(*)o1,SimpleSubst,Random,1,1,2.3371214866638184,4.131871223449707,1.7947497367858887,11,11,0,True,True,IN_TRAIN_RANGE,20,3,1,0,1,True,True,0.0,S,O
3414,[*]CC1CCC(COC(=O)CCCCC(=O)O[*])CC1,*OC(=S)CCCCC(=O)OCC1CCC(S*)CC1,SimpleSubst,Evolutionary,2,2,6.599419593811035,4.851649761199951,1.747769832611084,20,20,0,True,True,IN_TRAIN_RANGE,50,15,2,0,1,False,,,,
3471,[*]CNCC(C=C1)=CC=C1[*],*NNSS1=CC=C(*)C=C1,SimpleSubst,Evolutionary,3,3,4.566598892211914,2.876006603240967,1.6905922889709473,11,11,0,True,True,IN_TRAIN_RANGE,50,12,3,0,1,False,,,,
3430,[*]NC(C([*])=O)C(Cc1ccccc1)c1c[nH]cn1,*NC(C(*)=O)N(CS1=CC=CC=C1)c1c[nH]cn1,SimpleSubst,Evolutionary,2,2,5.042630195617676,3.38187837600708,1.6607518196105957,19,19,0,True,True,IN_TRAIN_RANGE,50,12,2,0,1,False,,,,
3200,[*]CC([*])OCc1ccccc1,*SC(*)OCS1=CC=CC=C1,SimpleSubst,Evolutionary,2,2,5.3933587074279785,3.740267753601074,1.6530909538269043,12,12,0,True,True,IN_TRAIN_RANGE,20,12,2,0,1,False,,,,
3132,[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC(C)CC(C)(C)C2)cc1,*OS1=CC=C(C2(C3=CC=S(OC(*)=O)C=C3)CC(C)CC(C)(C)C2)C=C1,SimpleSubst,Evolutionary,2,2,4.636800289154053,3.056349277496338,1.5804510116577148,27,27,0,True,True,IN_TRAIN_RANGE,50,20,2,0,1,False,,,,
3539,[*]CC(O[*])C(F)(F)F,*CC(S*)C(F)(F)F,SimpleSubst,Random,1,1,6.81688117980957,5.245861530303955,1.5710196495056152,9,9,0,True,True,IN_TRAIN_RANGE,50,3,1,0,1,True,False,1.0,O,S
