strategy,query_budget,queries_used,candidates_proposed,candidates_valid,valid_candidate_rate,candidates_unique,unique_candidate_rate,duplicates,invalid_proposals,edit_budget_rejections,source_prediction,best_prediction,best_drift,drift_per_query,best_operator_edits,max_operator_edits,mean_operator_edits,seed,operator,objective,source_smiles,best_smiles,predictor_calls,one_model_call_per_query,atom_edit_count,structural_change_proxy,element_change_count,atom_count_delta,component_count_delta,best_is_source,source_id
greedy,10,10,68,68,1.0,10,1.0,0,0,0,4.482829570770264,3.7934136390686035,0.6894159317016602,0.06894159317016602,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,*C#SC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,11,True,1,1,1,0,0,False,0
greedy,10,10,10,10,1.0,10,1.0,0,0,0,5.693188190460205,4.2734222412109375,1.4197659492492676,0.14197659492492676,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C=C,*CC(*)C=S,11,True,1,1,1,0,0,False,1
greedy,10,10,13,13,1.0,10,1.0,0,0,0,4.5167927742004395,6.41111946105957,1.8943266868591309,0.18943266868591307,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(=S)NO*,*CC(=O)NO*,11,True,1,1,1,0,0,False,2
greedy,10,10,14,14,1.0,10,1.0,0,0,0,4.1277289390563965,3.5971689224243164,0.5305600166320801,0.05305600166320801,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(=O)CC(*)=S,*CS(=O)CC(*)=S,11,True,1,1,1,0,0,False,3
greedy,10,10,15,15,1.0,10,1.0,0,0,0,3.604166030883789,4.983973026275635,1.3798069953918457,0.13798069953918457,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(=O)C(=S)C(*)=O,*CC(=O)C(=N)C(*)=O,11,True,1,1,1,0,0,False,4
greedy,10,10,79,79,1.0,10,1.0,0,0,0,2.682847023010254,2.326362133026123,0.35648488998413086,0.03564848899841309,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,*C#Cc1cc(C#CS2=CC(N)=C(*)C=C2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,11,True,1,1,1,0,0,False,5
greedy,10,10,31,31,1.0,10,1.0,0,0,0,1.931450605392456,1.3753442764282227,0.5561063289642334,0.05561063289642334,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,*C#CS1=CC=C(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])C=C1,11,True,1,1,1,0,0,False,6
greedy,10,10,33,33,1.0,10,1.0,0,0,0,2.3184561729431152,1.5913891792297363,0.7270669937133789,0.07270669937133789,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],*C#CS1=C([N+](=O)[O-])C([N+](=O)[O-])=C(C#Cc2ccc(*)nc2)S1,11,True,1,1,1,0,0,False,7
greedy,10,10,56,56,1.0,10,1.0,0,0,0,3.9084136486053467,3.668297290802002,0.24011635780334473,0.024011635780334474,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,*OC(=O)c1ccc(C=Cc2ccc(C(=O)OCCCCCCCCCS*)cc2)cc1,11,True,1,1,1,0,0,False,8
greedy,10,10,44,44,1.0,10,1.0,0,0,0,2.770007848739624,3.2958593368530273,0.5258514881134033,0.05258514881134033,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,*N=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,11,True,1,1,1,0,0,False,9
greedy,10,10,22,22,1.0,10,1.0,0,0,0,5.766177177429199,4.462924957275391,1.3032522201538086,0.13032522201538085,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)NCCO,*CC(*)C(=S)NCCO,11,True,1,1,1,0,0,False,10
greedy,10,10,25,25,1.0,10,1.0,0,0,0,5.358880043029785,6.164327621459961,0.8054475784301758,0.08054475784301758,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)SC(C)CC,*CC(*)C(=O)CC(C)CC,11,True,1,1,1,0,0,False,11
greedy,10,10,26,26,1.0,10,1.0,0,0,0,5.310904502868652,4.572148323059082,0.7387561798095703,0.07387561798095703,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*OC(=O)CCSCCC(*)=O,*OC(=S)CCSCCC(*)=O,11,True,1,1,1,0,0,False,12
greedy,10,10,31,31,1.0,10,1.0,0,0,0,5.054882526397705,4.417916774749756,0.6369657516479492,0.06369657516479492,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)OCCCSCC,*CC(*)C(=S)OCCCSCC,11,True,1,1,1,0,0,False,13
greedy,10,10,32,32,1.0,10,1.0,0,0,0,5.500260353088379,4.405786991119385,1.0944733619689941,0.10944733619689942,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C=CC(C)C(*)C(=O)OCCCC,*C=CN(C)C(*)C(=O)OCCCC,11,True,1,1,1,0,0,False,14
greedy,10,10,35,35,1.0,10,1.0,0,0,0,5.93048095703125,5.03411865234375,0.8963623046875,0.08963623046875,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*NC(CCC(=O)OCCCC)C(*)=O,*NC(SCC(=O)OCCCC)C(*)=O,11,True,1,1,1,0,0,False,15
greedy,10,10,34,34,1.0,10,1.0,0,0,0,6.093667507171631,4.3924560546875,1.7012114524841309,0.1701211452484131,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)(C#N)C(=O)OCC(C)OCC=C,*CC(*)(C#[SH])C(=O)OCC(C)OCC=C,11,True,1,1,1,0,0,False,16
greedy,10,10,43,43,1.0,10,1.0,0,0,0,4.716371059417725,5.691512584686279,0.9751415252685547,0.09751415252685547,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C(=NCCCCCC)N(*)CCCCCC,*N(CCCCCC)S(*)=NCCCCCC,11,True,1,1,1,0,0,False,17
greedy,10,10,36,36,1.0,10,1.0,0,0,0,5.228766918182373,4.480069160461426,0.7486977577209473,0.07486977577209472,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC#CC#CCOC(=O)CCCCC(=O)O*,*CS#CC#CCOC(=O)CCCCC(=O)O*,11,True,1,1,1,0,0,False,18
greedy,10,10,26,26,1.0,10,1.0,0,0,0,6.2741827964782715,5.20372200012207,1.0704607963562012,0.10704607963562011,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,*CC(CS*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,11,True,1,1,1,0,0,False,19
greedy,10,10,14,14,1.0,10,1.0,0,0,0,6.232177257537842,4.992979526519775,1.2391977310180664,0.12391977310180664,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(C)(C)CS(*)(=O)=O,*SC(C)(C)CS(*)(=O)=O,11,True,1,1,1,0,0,False,20
greedy,10,10,19,19,1.0,10,1.0,0,0,0,7.237398147583008,6.923153877258301,0.31424427032470703,0.031424427032470705,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C(F)C(*)(F)OC(F)(F)F,*[SH](F)C(*)(F)OC(F)(F)F,11,True,1,1,1,0,0,False,21
greedy,10,10,28,28,1.0,10,1.0,0,0,0,6.301794528961182,4.676426410675049,1.6253681182861328,0.1625368118286133,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)OCCCCC,*CC(*)C(=S)OCCCCC,11,True,1,1,1,0,0,False,22
greedy,10,10,31,31,1.0,10,1.0,0,0,0,6.122353553771973,5.140765190124512,0.9815883636474609,0.0981588363647461,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)(C)C(=O)OCCCOC,*SC(*)(C)C(=O)OCCCOC,11,True,1,1,1,0,0,False,23
greedy,10,10,34,34,1.0,10,1.0,0,0,0,5.851002216339111,4.855816841125488,0.995185375213623,0.0995185375213623,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C=CCCCCCCCCCC*,*C=CSCCCCCCCCC*,11,True,1,1,1,0,0,False,24
greedy,10,10,23,23,1.0,10,1.0,0,0,0,7.346739768981934,7.163695335388184,0.18304443359375,0.018304443359375,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,*C(F)(S)C(*)(F)OC(F)(F)C(F)(F)F,11,True,1,1,1,0,0,False,25
greedy,10,10,28,28,1.0,10,1.0,0,0,0,6.814662933349609,5.688314914703369,1.1263480186462402,0.11263480186462402,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,*SC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,11,True,1,1,1,0,0,False,26
greedy,10,10,43,43,1.0,10,1.0,0,0,0,6.311307907104492,4.983216762542725,1.3280911445617676,0.13280911445617677,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CCCCCCCCCCCCC(=O)N*,*NC(=O)CCCCCCCCCCCS*,11,True,1,1,1,0,0,False,27
greedy,10,10,30,30,1.0,10,1.0,0,0,0,6.676274299621582,5.27660608291626,1.3996682167053223,0.13996682167053223,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,*SC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,11,True,1,1,1,0,0,False,28
greedy,10,10,47,47,1.0,10,1.0,0,0,0,5.6309332847595215,4.709819316864014,0.9211139678955078,0.09211139678955078,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*CCCCCNC(=O)C(OC)C(OC)C(=O)N*,*NC(=O)C(OC)C(OC)C(=O)NCCCCS*,11,True,1,1,1,0,0,False,29
greedy,20,20,68,68,1.0,20,1.0,0,0,0,4.482829570770264,3.7934136390686035,0.6894159317016602,0.03447079658508301,1.0,1.0,1.0,42,simple_substitution,UntargetedDrift,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,*C#SC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,21,True,1,1,1,0,0,False,0
greedy,20,20,30,24,0.8,20,1.0,6,0,0,5.693188190460205,3.574618339538574,2.118569850921631,0.10592849254608154,3.0,3.0,1.6,42,simple_substitution,UntargetedDrift,*CC(*)C=C,*SN(*)C=S,21,True,3,3,3,0,0,False,1
greedy,20,20,26,24,0.9230769230769231,20,1.0,2,0,0,4.5167927742004395,7.011655330657959,2.4948625564575195,0.12474312782287597,2.0,2.0,1.35,42,simple_substitution,UntargetedDrift,*CC(=S)NO*,*ONC(=O)O*,21,True,2,2,2,0,0,False,2
greedy,20,20,28,26,0.9285714285714286,20,1.0,2,0,0,4.1277289390563965,6.471226215362549,2.3434972763061523,0.11717486381530762,2.0,2.0,1.3,42,simple_substitution,UntargetedDrift,*CC(=O)CC(*)=S,*OC(=O)CC(*)=O,21,True,2,2,2,0,0,False,3
