strategy,query_budget,queries_used,candidates_proposed,candidates_valid,valid_candidate_rate,candidates_unique,unique_candidate_rate,duplicates,invalid_proposals,edit_budget_rejections,source_prediction,best_prediction,best_drift,drift_per_query,best_operator_edits,max_operator_edits,mean_operator_edits,seed,operator,objective,source_smiles,best_smiles,predictor_calls,one_model_call_per_query,atom_edit_count,structural_change_proxy,element_change_count,atom_count_delta,component_count_delta,best_is_source,source_id,stratum
random,10,10,680,635,0.9338235294117647,10,1.0,45,0,0,4.482829570770264,4.221676826477051,0.2611527442932129,0.026115274429321288,1,1,1.0,42,simple_substitution,UntargetedDrift,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,*C#CC(NCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,11,True,1,1,1,0,0,False,0,low
random,10,10,100,55,0.55,10,1.0,45,0,0,5.693188190460205,4.2734222412109375,1.4197659492492676,0.14197659492492676,1,1,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C=C,*CC(*)C=S,11,True,1,1,1,0,0,False,1,low
random,10,10,130,85,0.6538461538461539,10,1.0,45,0,0,4.5167927742004395,6.41111946105957,1.8943266868591309,0.18943266868591307,1,1,1.0,42,simple_substitution,UntargetedDrift,*CC(=S)NO*,*CC(=O)NO*,11,True,1,1,1,0,0,False,2,low
random,10,10,140,95,0.6785714285714286,10,1.0,45,0,0,4.1277289390563965,5.882623195648193,1.7548942565917969,0.1754894256591797,1,1,1.0,42,simple_substitution,UntargetedDrift,*CC(=O)CC(*)=S,*CC(=O)CC(*)=O,11,True,1,1,1,0,0,False,3,low
random,10,10,150,105,0.7,10,1.0,45,0,0,3.604166030883789,5.2131242752075195,1.6089582443237305,0.16089582443237305,1,1,1.0,42,simple_substitution,UntargetedDrift,*CC(=O)C(=S)C(*)=O,*CC(=O)C(=O)C(*)=O,11,True,1,1,1,0,0,False,4,low
random,10,10,790,745,0.9430379746835443,10,1.0,45,0,0,2.682847023010254,2.522491216659546,0.160355806350708,0.016035580635070802,1,1,1.0,42,simple_substitution,UntargetedDrift,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=C)[O-])c(OCCOCCOC)cc1OCCOCCOC,11,True,1,1,1,0,0,False,5,low
random,10,10,310,265,0.8548387096774194,10,1.0,45,0,0,1.931450605392456,2.652724027633667,0.7212734222412109,0.0721273422241211,1,1,1.0,42,simple_substitution,UntargetedDrift,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,*C#Cc1ccc(C#CC2=C([N+](=O)[O-])S([N+](=O)[O-])=C(*)S2)cc1,11,True,1,1,1,0,0,False,6,low
random,10,10,330,285,0.8636363636363636,10,1.0,45,0,0,2.3184561729431152,1.6012239456176758,0.7172322273254395,0.07172322273254395,1,1,1.0,42,simple_substitution,UntargetedDrift,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],*C#CC1=C([N+](=O)[O-])C([N+](=O)[O-])=S(C#Cc2ccc(*)nc2)S1,11,True,1,1,1,0,0,False,7,low
random,10,10,560,515,0.9196428571428571,10,1.0,45,0,0,3.9084136486053467,3.329867362976074,0.5785462856292725,0.057854628562927245,1,1,1.0,42,simple_substitution,UntargetedDrift,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,*CCCCCCCCCCOC(=O)C1=CC=S(C=Cc2ccc(C(=O)O*)cc2)C=C1,11,True,1,1,1,0,0,False,8,low
random,10,10,440,395,0.8977272727272727,10,1.0,45,0,0,2.770007848739624,3.186774969100952,0.4167671203613281,0.04167671203613281,1,1,1.0,42,simple_substitution,UntargetedDrift,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,*[SH]=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,11,True,1,1,1,0,0,False,9,low
random,10,10,220,175,0.7954545454545454,10,1.0,45,0,0,5.766177177429199,4.737949848175049,1.0282273292541504,0.10282273292541504,1,1,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)NCCO,*SC(*)C(=O)NCCO,11,True,1,1,1,0,0,False,10,medium
random,10,10,250,205,0.82,10,1.0,45,0,0,5.358880043029785,6.355340003967285,0.9964599609375,0.09964599609375,1,1,1.0,42,simple_substitution,UntargetedDrift,*CC(*)C(=O)SC(C)CC,*CC(*)C(=O)OC(C)CC,11,True,1,1,1,0,0,False,11,medium
