strategy,query_budget,n_runs,eligible_sources,valid_candidate_rate,unique_candidate_rate,mean_drift,median_drift,p90_drift,p95_drift,max_drift,mean_queries_used,max_queries_used,duplicate_count,invalid_proposal_count,mean_operator_edits,max_operator_edits,mean_atom_edits,max_atom_edits,mean_structural_change,query_efficiency,unanswered_runs
evolutionary,10,30,30,0.9318882327187191,1.0,1.2067206780115762,1.0860958099365234,2.164948892593384,2.2992867469787597,2.4220948219299316,10.0,10,517,0,1.9666666666666666,2,1.8666666666666667,2,1.8666666666666667,0.12067206780115763,0
evolutionary,20,30,30,0.8354678775396229,1.0,1.5450022061665853,1.511240005493164,2.3591530799865725,2.556251168251037,2.941655158996582,18.333333333333332,20,1446,0,2.9,3,2.6,3,2.6,0.08373750845591227,0
evolutionary,50,30,30,0.7840102601859766,1.0,1.5829891204833983,1.548140048980713,2.3591530799865725,2.556251168251037,2.941655158996582,19.766666666666666,42,1912,0,3.0,3,2.7,3,2.7,0.08139643643696505,0
greedy,10,30,30,1.0,1.0,0.9468040068944296,0.9481277465820312,1.4403261661529545,1.6670819520950315,1.8943266868591309,10.0,10,0,0,1.0,1,1.0,1,1.0,0.09468040068944296,0
greedy,20,30,30,0.9840155185316476,1.0,1.1883607705434163,1.1722486019134521,2.0982704639434813,2.242279934883117,2.4948625564575195,20.0,20,14,0,1.2,3,1.2,3,1.2,0.05941803852717082,0
greedy,50,30,30,0.9288671329878004,1.0,1.7031726439793904,1.6564700603485107,2.5965181589126587,2.833343374729156,3.055210590362549,47.46666666666667,50,67,0,2.1333333333333333,3,1.9,3,1.9,0.038233887058462694,0
metropolis,10,30,30,0.7745599319963355,1.0,1.053879769643148,1.005462646484375,1.7849923610687255,1.809233260154724,1.8967981338500977,10.0,10,309,0,2.8333333333333335,3,2.3666666666666667,3,2.3666666666666667,0.10538797696431478,0
metropolis,20,30,30,0.7348802818766706,1.0,1.2780441204706827,1.2251548767089844,1.834164047241211,2.185711312294005,2.651970624923706,20.0,20,1084,0,2.8666666666666667,3,2.466666666666667,3,2.466666666666667,0.06390220602353414,0
metropolis,50,30,30,0.6890160613342099,1.0,1.5520605802536012,1.5765793323516846,2.4450824022293096,2.811297118663787,3.055210590362549,49.46666666666667,50,4962,0,2.8666666666666667,3,2.3666666666666667,3,2.3666666666666667,0.03158125380908742,0
random,10,30,30,0.8261600556320724,1.0,0.9667453606923421,0.9313557147979736,1.7023633003234864,1.80657320022583,1.8943266868591309,10.0,10,1350,0,1.0,1,1.0,1,1.0,0.09667453606923422,0
random,20,30,30,0.6720460759314445,1.0,1.0902402877807618,1.0123436450958252,1.7023633003234864,1.80657320022583,1.8943266868591309,18.833333333333332,20,5226,0,1.0,1,1.0,1,1.0,0.062085020418193464,0
random,50,30,30,0.513069310002482,1.0,1.166406512260437,1.2849206924438477,1.7065797328948975,1.80657320022583,1.8943266868591309,30.566666666666666,50,16247,0,1.0,1,1.0,1,1.0,0.04984283087421805,0
