strategy,query_budget,queries_used,candidates_proposed,candidates_valid,valid_candidate_rate,candidates_unique,unique_candidate_rate,duplicates,invalid_proposals,edit_budget_rejections,source_prediction,best_prediction,best_drift,drift_per_query,best_operator_edits,max_operator_edits,mean_operator_edits,seed,operator,objective,source_smiles,best_smiles,predictor_calls,one_model_call_per_query,atom_edit_count,structural_change_proxy,element_change_count,atom_count_delta,component_count_delta,best_is_source,source_id,objective_name,signed_change_eV
random,50,50,3400,2175,0.6397058823529411,50,1.0,1225,0,0,4.482829570770264,4.883819103240967,0.4009895324707031,0.008019790649414063,1,1,1.0,42,simple_substitution,TargetIncrease,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,*C#CS(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,51,True,1,1,1,0,0,False,0,TARGET_INCREASE,0.4009895324707031
random,50,10,110,55,0.5,10,1.0,55,0,0,5.693188190460205,6.199018955230713,0.5058307647705078,0.05058307647705078,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)C=C,*CC(*)C=O,11,True,1,1,1,0,0,False,1,TARGET_INCREASE,0.5058307647705078
random,50,13,182,91,0.5,13,1.0,91,0,0,4.5167927742004395,6.41111946105957,1.8943266868591309,0.14571743745070237,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(=S)NO*,*CC(=O)NO*,14,True,1,1,1,0,0,False,2,TARGET_INCREASE,1.8943266868591309
random,50,14,210,105,0.5,14,1.0,105,0,0,4.1277289390563965,5.882623195648193,1.7548942565917969,0.1253495897565569,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(=O)CC(*)=S,*CC(=O)CC(*)=O,15,True,1,1,1,0,0,False,3,TARGET_INCREASE,1.7548942565917969
random,50,15,240,120,0.5,15,1.0,120,0,0,3.604166030883789,5.2131242752075195,1.6089582443237305,0.10726388295491536,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(=O)C(=S)C(*)=O,*CC(=O)C(=O)C(*)=O,16,True,1,1,1,0,0,False,4,TARGET_INCREASE,1.6089582443237305
random,50,50,3950,2725,0.689873417721519,50,1.0,1225,0,0,2.682847023010254,2.969146251678467,0.2862992286682129,0.005725984573364258,1,1,1.0,42,simple_substitution,TargetIncrease,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,*C#Cc1cc(C#Cc2cc(N)c(*)cc2C(=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,51,True,1,1,1,0,0,False,5,TARGET_INCREASE,0.2862992286682129
random,50,31,992,496,0.5,31,1.0,496,0,0,1.931450605392456,2.800344467163086,0.8688938617706299,0.02802883425066548,1,1,1.0,42,simple_substitution,TargetIncrease,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,*C#Cc1ccc(C#CC2=S([N+](=O)[O-])C([N+](=O)[O-])=C(*)S2)cc1,32,True,1,1,1,0,0,False,6,TARGET_INCREASE,0.8688938617706299
random,50,33,1122,561,0.5,33,1.0,561,0,0,2.3184561729431152,2.7792882919311523,0.4608321189880371,0.013964609666304155,1,1,1.0,42,simple_substitution,TargetIncrease,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],*C#CC1=S([N+](=O)[O-])C([N+](=O)[O-])=C(C#Cc2ccc(*)nc2)S1,34,True,1,1,1,0,0,False,7,TARGET_INCREASE,0.4608321189880371
random,50,50,2800,1575,0.5625,50,1.0,1225,0,0,3.9084136486053467,4.171561241149902,0.26314759254455566,0.005262951850891113,1,1,1.0,42,simple_substitution,TargetIncrease,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,*CCCCCCCCCCOC(=O)c1ccc(N=Cc2ccc(C(=O)O*)cc2)cc1,51,True,1,1,1,0,0,False,8,TARGET_INCREASE,0.26314759254455566
random,50,44,1980,990,0.5,44,1.0,990,0,0,2.770007848739624,3.2958593368530273,0.5258514881134033,0.01195117018439553,1,1,1.0,42,simple_substitution,TargetIncrease,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,*N=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,45,True,1,1,1,0,0,False,9,TARGET_INCREASE,0.5258514881134033
random,50,22,506,253,0.5,22,1.0,253,0,0,5.766177177429199,6.219655990600586,0.4534788131713867,0.020612673325972122,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)C(=O)NCCO,*CC(*)C(=O)OCCO,23,True,1,1,1,0,0,False,10,TARGET_INCREASE,0.4534788131713867
random,50,25,650,325,0.5,25,1.0,325,0,0,5.358880043029785,6.355340003967285,0.9964599609375,0.0398583984375,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)C(=O)SC(C)CC,*CC(*)C(=O)OC(C)CC,26,True,1,1,1,0,0,False,11,TARGET_INCREASE,0.9964599609375
random,50,26,702,351,0.5,26,1.0,351,0,0,5.310904502868652,6.647587776184082,1.3366832733154297,0.05141089512751652,1,1,1.0,42,simple_substitution,TargetIncrease,*OC(=O)CCSCCC(*)=O,*OC(=O)CCCCCC(*)=O,27,True,1,1,1,0,0,False,12,TARGET_INCREASE,1.3366832733154297
random,50,31,992,496,0.5,31,1.0,496,0,0,5.054882526397705,6.333026885986328,1.278144359588623,0.04123046321253623,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)C(=O)OCCCSCC,*CC(*)C(=O)OCCCCCC,32,True,1,1,1,0,0,False,13,TARGET_INCREASE,1.278144359588623
random,50,32,1056,528,0.5,32,1.0,528,0,0,5.500260353088379,6.074350357055664,0.5740900039672852,0.01794031262397766,1,1,1.0,42,simple_substitution,TargetIncrease,*C=CC(C)C(*)C(=O)OCCCC,*N=CC(C)C(*)C(=O)OCCCC,33,True,1,1,1,0,0,False,14,TARGET_INCREASE,0.5740900039672852
random,50,35,1260,630,0.5,35,1.0,630,0,0,5.93048095703125,6.232001781463623,0.30152082443237305,0.008614880698067802,1,1,1.0,42,simple_substitution,TargetIncrease,*NC(CCC(=O)OCCCC)C(*)=O,*CC(CCC(=O)OCCCC)C(*)=O,36,True,1,1,1,0,0,False,15,TARGET_INCREASE,0.30152082443237305
random,50,34,1190,595,0.5,34,1.0,595,0,0,6.093667507171631,6.392115116119385,0.2984476089477539,0.008777870851404527,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)(C#N)C(=O)OCC(C)OCC=C,*CC(*)(C#N)S(=O)OCC(C)OCC=C,35,True,1,1,1,0,0,False,16,TARGET_INCREASE,0.2984476089477539
random,50,43,1892,946,0.5,43,1.0,946,0,0,4.716371059417725,5.819509983062744,1.1031389236450195,0.025654393573139988,1,1,1.0,42,simple_substitution,TargetIncrease,*C(=NCCCCCC)N(*)CCCCCC,*C(=NCCCCCC)C(*)CCCCCC,44,True,1,1,1,0,0,False,17,TARGET_INCREASE,1.1031389236450195
random,50,36,1332,666,0.5,36,1.0,666,0,0,5.228766918182373,5.284872055053711,0.05610513687133789,0.0015584760242038304,1,1,1.0,42,simple_substitution,TargetIncrease,*CC#CC#CCOC(=O)CCCCC(=O)O*,*CC#CC#CCCC(=O)CCCCC(=O)O*,37,True,1,1,1,0,0,False,18,TARGET_INCREASE,0.05610513687133789
random,50,26,702,351,0.5,26,1.0,351,0,0,6.2741827964782715,6.493568420410156,0.21938562393188477,0.008437908612764798,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)OCC,27,True,1,1,1,0,0,False,19,TARGET_INCREASE,0.21938562393188477
random,50,14,210,105,0.5,14,1.0,105,0,0,6.232177257537842,6.779282569885254,0.5471053123474121,0.03907895088195801,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(C)(C)CS(*)(=O)=O,*CC(C)(C)OS(*)(=O)=O,15,True,1,1,1,0,0,False,20,TARGET_INCREASE,0.5471053123474121
random,50,19,380,190,0.5,19,1.0,190,0,0,7.237398147583008,7.678802490234375,0.4414043426513672,0.023231807507966693,1,1,1.0,42,simple_substitution,TargetIncrease,*C(F)C(*)(F)OC(F)(F)F,*C(F)C(*)(F)OS(F)(F)F,20,True,1,1,1,0,0,False,21,TARGET_INCREASE,0.4414043426513672
random,50,28,812,406,0.5,28,1.0,406,0,0,6.301794528961182,6.529063701629639,0.22726917266845703,0.008116756166730608,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)C(=O)OCCCCC,*CC(*)S(=O)OCCCCC,29,True,1,1,1,0,0,False,22,TARGET_INCREASE,0.22726917266845703
random,50,31,992,496,0.5,31,1.0,496,0,0,6.122353553771973,6.53025484085083,0.4079012870788574,0.013158106034801852,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)(C)C(=O)OCCCOC,*CC(*)(C)C(=O)OCCCOF,32,True,1,1,1,0,0,False,23,TARGET_INCREASE,0.4079012870788574
random,50,34,1190,595,0.5,34,1.0,595,0,0,5.851002216339111,6.210636138916016,0.3596339225769043,0.010577468311085421,1,1,1.0,42,simple_substitution,TargetIncrease,*C=CCCCCCCCCCC*,*CCCCCCCCCCC=N*,35,True,1,1,1,0,0,False,24,TARGET_INCREASE,0.3596339225769043
random,50,23,552,276,0.5,23,1.0,276,0,0,7.346739768981934,7.584042072296143,0.23730230331420898,0.010317491448443869,1,1,1.0,42,simple_substitution,TargetIncrease,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,*C(F)(F)C(*)(F)OC(F)(F)S(F)(F)F,24,True,1,1,1,0,0,False,25,TARGET_INCREASE,0.23730230331420898
random,50,28,812,406,0.5,28,1.0,406,0,0,6.814662933349609,7.171639442443848,0.3569765090942383,0.012749161039079939,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,*CC(*)(F)S(=O)OCC(F)(F)C(F)(F)F,29,True,1,1,1,0,0,False,26,TARGET_INCREASE,0.3569765090942383
random,50,43,1892,946,0.5,43,1.0,946,0,0,6.311307907104492,6.745854377746582,0.43454647064208984,0.010105731875397438,1,1,1.0,42,simple_substitution,TargetIncrease,*CCCCCCCCCCCCC(=O)N*,*CCCCCCCCCCCCC(=O)O*,44,True,1,1,1,0,0,False,27,TARGET_INCREASE,0.43454647064208984
random,50,30,930,465,0.5,30,1.0,465,0,0,6.676274299621582,6.842276573181152,0.1660022735595703,0.005533409118652344,1,1,1.0,42,simple_substitution,TargetIncrease,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,*CC(*)C(=O)OCC(F)(F)C(F)(F)S(F)(F)F,31,True,1,1,1,0,0,False,28,TARGET_INCREASE,0.1660022735595703
random,50,47,2256,1128,0.5,47,1.0,1128,0,0,5.6309332847595215,6.002129077911377,0.37119579315185547,0.007897782833018202,1,1,1.0,42,simple_substitution,TargetIncrease,*CCCCCNC(=O)C(OC)C(OC)C(=O)N*,*CCCCCNC(=O)C(OC)C(OC)C(=O)O*,48,True,1,1,1,0,0,False,29,TARGET_INCREASE,0.37119579315185547
greedy,50,50,68,68,1.0,50,1.0,0,0,0,4.482829570770264,4.883819103240967,0.4009895324707031,0.008019790649414063,1,1,1.0,42,simple_substitution,TargetIncrease,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,*C#CS(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,51,True,1,1,1,0,0,False,0,TARGET_INCREASE,0.4009895324707031
greedy,50,25,40,25,0.625,25,1.0,5,0,10,5.693188190460205,6.773104190826416,1.079916000366211,0.04319664001464844,3,3,1.88,42,simple_substitution,TargetIncrease,*CC(*)C=C,*OC(*)N=O,26,True,3,3,3,0,0,False,1,TARGET_INCREASE,1.079916000366211
greedy,50,33,52,33,0.6346153846153846,33,1.0,6,0,13,4.5167927742004395,7.572003364562988,3.055210590362549,0.09258213910189542,3,3,1.878787878787879,42,simple_substitution,TargetIncrease,*CC(=S)NO*,*ONS(=O)O*,34,True,2,2,2,0,0,False,2,TARGET_INCREASE,3.055210590362549
greedy,50,36,56,36,0.6428571428571429,36,1.0,6,0,14,4.1277289390563965,7.0693840980529785,2.941655158996582,0.08171264330546062,3,3,1.8888888888888888,42,simple_substitution,TargetIncrease,*CC(=O)CC(*)=S,*OC(=O)OC(*)=O,37,True,3,3,3,0,0,False,3,TARGET_INCREASE,2.941655158996582
greedy,50,41,45,41,0.9111111111111111,41,1.0,4,0,0,3.604166030883789,6.189079284667969,2.5849132537841797,0.06304666472644341,2,3,1.951219512195122,42,simple_substitution,TargetIncrease,*CC(=O)C(=S)C(*)=O,*CC(=O)S(=O)C(*)=O,42,True,1,1,1,0,0,False,4,TARGET_INCREASE,2.5849132537841797
greedy,50,50,79,79,1.0,50,1.0,0,0,0,2.682847023010254,2.969146251678467,0.2862992286682129,0.005725984573364258,1,1,1.0,42,simple_substitution,TargetIncrease,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,*C#Cc1cc(C#Cc2cc(N)c(*)cc2C(=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,51,True,1,1,1,0,0,False,5,TARGET_INCREASE,0.2862992286682129
