Source,Candidate,TargetModel,Budget,TargetDrift,TransferDrift
[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNC(=O)CCSCCCOCC(=O)N*,GraphMPNN,10,1.1367683410644531,0.6192712783813477
[*]CNC(=O)CCCCCCCCC(=O)N[*],*CNC(=O)NCCCCCSCC(=O)N*,Transformer,10,0.9015860557556152,1.1200623512268066
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,*Oc1ccc(CC(NC(=O)SCc2ccc(OC(=O)CCCCCSC(*)=O)cc2)C(=O)OC)cc1,GraphMPNN,10,0.3988633155822754,0.2851119041442871
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC(*)=O)cc2)C(=O)[IH]S)cc1,Transformer,10,0.45748472213745117,0.2811770439147949
[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(O[*])c3)c2)c1,*CCOCCOC[IH]Oc1cccc(NC(=O)c2cccc([IH](=O)Nc3cccc(O*)c3)c2)c1,GraphMPNN,10,0.5641288757324219,0.13219952583312988
[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(O[*])c3)c2)c1,*CCOCCOCSOc1cccc(NC(=O)c2cccc(C(=O)Oc3cccc(O*)c3)c2)c1,Transformer,10,0.5378553867340088,0.05640077590942383
[*]CC1CCC(COC(=O)CCCC(=O)O[*])CC1,*CC1CCC(COC(=O)CSCC(=O)[IH]*)CC1,GraphMPNN,10,1.4011077880859375,0.9364070892333984
[*]CC1CCC(COC(=O)CCCC(=O)O[*])CC1,*CC1CCC(NOC(=S)CCCC(=O)O*)CC1,Transformer,10,1.1455950736999512,1.159553050994873
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],*Oc1ccc(C(=S)C2=C[SH]=C(*)C=C2)s1,GraphMPNN,10,0.7864151000976562,0.26537036895751953
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],*Oc1ncc(C(=S)c2ccc(*)cc2)s1,Transformer,10,0.7974424362182617,0.11944842338562012
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,*c1ccc2[nH]c(-c3cccc(-c4nc5cc(C(=N)Sc6cccc(N[IH](*)=O)n6)ccc5[nH]4)c3)nc2c1,GraphMPNN,10,0.3954164981842041,0.12237739562988281
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,*C(=C)Nc1cccc(NC(=C)c2ccc3[nH]c(-c4cccc(-c5nc6cc(*)ccc6[nH]5)c4)nc3c2)n1,Transformer,10,0.6401667594909668,0.12363266944885254
[*]Oc1c(Cl)cc(NC(=O)NCCCCCCNC([*])=O)cc1Cl,*Oc1c(Cl)cc(NC(=O)NCCSCCSNC(*)=O)cc1Cl,GraphMPNN,10,0.44676828384399414,0.7705979347229004
[*]Oc1c(Cl)cc(NC(=O)NCCCCCCNC([*])=O)cc1Cl,*Oc1c(Cl)cc(NC(=O)NNSCCCCNC(*)=O)cc1Cl,Transformer,10,0.5561742782592773,0.21202325820922852
[*]CCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,*OC(=O)c1cccc(-c2cccc(C(=O)OC[IH]S*)c2)c1,GraphMPNN,10,0.36412525177001953,0.2382678985595703
[*]CCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,*CSCOC(=O)c1cccc(-c2cccc(C(=O)[IH]*)c2)c1,Transformer,10,0.298861026763916,0.03903818130493164
[*]C=C([*])c1cccc(C#C)c1,*I=C(*)c1cccc(C#I)c1,GraphMPNN,10,1.9616131782531738,0.0705263614654541
[*]C=C([*])c1cccc(C#C)c1,*N=[IH](*)c1cccc(C#N)c1,Transformer,10,0.726426362991333,1.946549892425537
[*]CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,*OC(=S)c1ccc(C=Cc2ccc(C(=O)OCCCCCCCCCS*)cc2)cc1,GraphMPNN,10,0.4921121597290039,0.13344287872314453
[*]CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,*CCSCCCCCCCOC(=O)c1ccc(C=Ic2ccc(C(=O)O*)cc2)cc1,Transformer,10,0.5415635108947754,0.4835202693939209
[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,*c1cccc(N2C(=S)c3cc(P(=[IH])(c4ccccc4)c4ccc5c(c4)C(=O)N(*)C5=C)ccc3S2=O)c1,GraphMPNN,10,0.8756377696990967,0.42616915702819824
[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,*c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=C)N(*)C5=[IH])cc3S2=O)c1,Transformer,10,0.3410511016845703,0.2116992473602295
[*]c1cccc(-c2nnc([*])o2)c1,[*]c1cccc(-c2nnc([*])o2)c1,GraphMPNN,10,0.0,0.0
[*]c1cccc(-c2nnc([*])o2)c1,[*]c1cccc(-c2nnc([*])o2)c1,Transformer,10,0.0,0.0
[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],*CCCCCCCNC(=O)CCCCCSCCCCCCCCCCC[IH]C(=O)N*,GraphMPNN,10,1.0452995300292969,0.21312618255615234
[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],*NC(=O)CCCCCNCCCCCCCCCCCCC(=O)NCCCCCCS*,Transformer,10,0.3522968292236328,0.9228858947753906
