source,candidate,drift_gnn,drift_tx,node_diff,edge_diff,degree_diff
[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]CNC(=O)CCCCCCCC(=O)N[*],0.02152729034423828,0.1424546241760254,-1,-1,-0.007352941176470562
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(CC(C(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,0.004771232604980469,0.7455043792724609,-1,-1,0.0015015015015014122
[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(O[*])c3)c2)c1,[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)c3cccc(O[*])c3)c2)c1,0.03620576858520508,0.25754308700561523,-1,-1,0.0031746031746031633
[*]CC1CCC(COC(=O)CCCC(=O)O[*])CC1,[*]CC1CCC(COC(=O)CCCC(=O)[*])CC1,0.20485639572143555,0.05150318145751953,-1,-1,0.0
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],[*]C(C=C1)=CCC1C(=S)C(S2)=CC=C2O[*],0.008905649185180664,0.1749875545501709,0,0,0.0
[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,[*]C(=O)c1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)n1,0.11458325386047363,0.4718155860900879,-1,-1,0.007112375533428139
[*]Oc1c(Cl)cc(NC(=O)NCCCCCCNC([*])=O)cc1Cl,[*]Oc1c(Cl)cc(C(=O)NCCCCCCNC([*])=O)cc1Cl,0.005596637725830078,0.0793309211730957,-1,-1,0.0
[*]CCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,[*]CCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,0.04029035568237305,0.42122888565063477,-1,-1,0.0039525691699604515
[*]C=C([*])c1cccc(C#C)c1,[*]CC([*])c1cccc(C#C)c1,1.605055809020996,3.1624584197998047,0,0,0.0
[*]CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,0.020107507705688477,0.18421673774719238,-1,-1,0.002016129032258007
[*]c1cccc(-c2nnc([*])o2)c1,[*]c1cccc(-c2nn([*])o2)c1,0.08119750022888184,0.3065462112426758,-1,-1,0.012820512820512775
[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],0.021605491638183594,0.09538507461547852,-1,-1,-0.0018939393939394478
[*]CC(O[*])C1CC(F)(F)C1(F)F,[*]C(O[*])C1CC(F)(F)C1(F)F,0.04465627670288086,0.022191524505615234,-1,-1,0.0
[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)cc1,[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5(c4)C(=O)N([*])C5=O)cc3C2=O)cc1,0.15279579162597656,0.15450286865234375,-1,-1,0.007112375533428139
[*]CC1CCCC(CNC(=O)CCCCCCCCCCC(=O)N[*])C1,[*]CC1CCCC(CNC(=O)CCCCCCCCCC(=O)N[*])C1,0.0015044212341308594,0.20364809036254883,-1,-1,0.0
[*]Cc1ccc(COC(=O)C2CCC(C(=O)O[*])CC2)cc1,[*]Cc1ccc(CC(=O)C2CCC(C(=O)O[*])CC2)cc1,0.09030389785766602,0.5669302940368652,-1,-1,0.0043290043290045155
[*]Nc1cc([*])ccc1CCCCCCCCCCCC,[*]Nc1cc([*])ccc1CCCCCCCCCCC,0.022121429443359375,0.06264281272888184,-1,-1,0.0
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=O)(=O)CC([*])=O,0.5143423080444336,0.2740612030029297,-1,-1,-0.01098901098901095
[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]CCCC(=O)NCCCCCCNC(=O)CCCCS[*],0.008269309997558594,0.16401100158691406,-1,-1,-0.0039525691699604515
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],[*]NC(S1)=CC=1C(C=C2)=CC=C2C(=S)[*],0.3473036289215088,0.3265981674194336,-1,-1,0.008333333333333304
[*]C=C([*])c1nc2ccccc2n1C,[*]=C([*])c1nc2ccccc2n1C,0.2115163803100586,0.9554791450500488,-1,-1,0.01098901098901095
[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,[*]C(=O)c1ccc(C(=O)N2CCN([*])C2)cc1,0.0979158878326416,0.0015301704406738281,-1,-1,0.006535947712418277
C([*])C(C)(C(=O)OCCCOC)([*]),C([*])(C)(C(=O)OCCCOC)([*]),0.1292095184326172,0.12900638580322266,-1,-1,-0.012820512820512997
[*]NC(S1)=CC=C1C(=O)O[*],[*]NC(S1)=CCC1C(=O)O[*],0.8406610488891602,0.989565372467041,0,0,0.0
[*]Nc1cc(OC)c([*])cc1OC,[*]Nc1cc(O)c([*])cc1OC,0.06222963333129883,0.10741376876831055,-1,-1,0.0
[*]c1ccc(-c2nnc([*])o2)c(OCC)c1,[*]c1ccc(-c2nnc([*])2)c(OCC)c1,0.773874044418335,0.12777924537658691,-1,-1,0.008333333333333304
[*]CC(CC)(CC)CS[*],[*]C(CC)(CC)CS[*],0.04629087448120117,0.509437084197998,-1,-1,-0.022222222222222365
[*]c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,[*]c1cc(CCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,0.0026884078979492188,0.04381275177001953,-1,-1,0.0022988505747125743
[*]c1ccc(C)c(N2CC(=O)N([*])CC2=O)c1,[*]c1ccc(C)(N2CC(=O)N([*])CC2=O)c1,0.40233635902404785,0.18623828887939453,-1,-1,0.007352941176470562
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCC([*])=O)cc2)C(=O)OC(C)CC)cc1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCC([*])=O)cc2)C(=O)OC(C)C)cc1,0.0020003318786621094,0.12810420989990234,-1,-1,0.0015873015873015817
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,[*]C(=O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,0.10156822204589844,0.3972744941711426,-1,-1,0.005102040816326703
[*]CC(S1)=CC=C1OC(=S)[*],[*]CC(S1)=C=C1OC(=S)[*],0.2727999687194824,0.6928396224975586,-1,-1,0.0
[*]CC([*])C(=O)N1CCOCC1,[*]CC([*])C(=O)N1COCC1,0.048252105712890625,0.18229103088378906,-1,-1,0.0
[*]c1ccc2c(c1)c1cc([*])ccc1n2C(=O)NO,[*]1ccc2c(c1)c1cc([*])ccc1n2C(=O)NO,0.5305137634277344,0.2614266872406006,-1,-1,0.011695906432748426
[*]OC(=O)C(Cc1ccccc1)NC(=O)CCCCC(=O)NC(Cc1ccccc1)C(=O)OC1COC2C([*])COC12,[*]OC(=O)C(Cc1ccccc1)NC(=O)CCCCC(=O)NC(Cc1ccccc1)C(O)OC1COC2C([*])COC12,0.011209487915039062,0.26904749870300293,0,0,0.0
[*]CCOCCOCCOC(=O)C=CC(=O)NCCCCCCNC(=O)C=CC(=O)O[*],[*]CCOCCOCCOC(=O)C=CC(=O)NCCCCCNC(=O)C=CC(=O)O[*],0.015663623809814453,0.08212709426879883,-1,-1,-0.002016129032258007
[*]CCCCc1nc2cc3sc([*])nc3cc2s1,[*]CCCCc1nc2cc3s([*])nc3cc2s1,0.22537708282470703,0.8360395431518555,-1,-1,0.013071895424836555
[*]CC([*])C(=O)NCO,[*]C([*])C(=O)NCO,0.05179548263549805,0.12105989456176758,-1,-1,-0.02777777777777768
[*]Oc1ccc(C(C)(C)c2ccc(Oc3nc([*])nc(Cl)n3)cc2)cc1,[*]Oc1ccc(C(C)(C)c2ccc(Oc3nc([*])n(Cl)n3)cc2)cc1,0.18097496032714844,0.018526554107666016,-1,-1,0.0061538461538463984
[*]C=CC1CC([*])C2CC=CC12,[*]C=CC1CC([*])C2CC=C12,0.22271251678466797,0.08722496032714844,-1,-1,0.015151515151515138
[*]c1nc2ccc(-c3ccc4nc(-c5cccc6cc7c([*])cccc7cc56)sc4c3)cc2s1,[*]1nc2ccc(-c3ccc4nc(-c5cccc6cc7c([*])cccc7cc56)sc4c3)cc2s1,0.6111397743225098,0.48657679557800293,-1,-1,0.010695187165775444
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],[*]C(S1)=CCC1C(=S)C(S2)=CC=C2O[*],0.6896066665649414,0.9261040687561035,0,0,0.0
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC(C)C)cc1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCC([*])=O)cc2)C(=O)OC(C)C)cc1,0.010613441467285156,0.1731867790222168,-1,-1,0.0013495276653174848
[*]C=CC1CC([*])C(C(=O)OC)C1,[*]C=CC1CC([*])(C(=O)OC)C1,0.04638099670410156,0.16494369506835938,-1,-1,0.0
[*]NC(c1ccccc1)C(C)(C)C([*])=O,[*]NC(c1ccccc1)C(C)(C)C([*])O,0.0983724594116211,0.42038488388061523,0,0,0.0
[*]CCCCCCOC(=O)C(=O)O[*],[*]CCCCCCOC(=O)C(=O)[*],0.1805582046508789,0.28042078018188477,-1,-1,-0.01098901098901095
[*]CCCNC(=O)CCCCC(=O)NCCCO[*],[*]CCCNC(=O)CCCC(=O)NCCCO[*],0.04740333557128906,0.005263328552246094,-1,-1,-0.005847953216374213
[*]CCCCCCNC(=O)NCCCCNC(=O)N[*],[*]CCCCCCNC(=O)CCCCNC(=O)N[*],0.1003255844116211,0.08284807205200195,-1,-1,-0.0052631578947368585
[*]CC([*])(Cl)C(=O)OC,[*]CC([*])(Cl)C(=O)O,0.15907526016235352,0.0019674301147460938,-1,-1,-0.02777777777777768
[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,[*]C#CC(CO)C([*])n1c2ccccc2c2ccccc21,1.039630651473999,0.3577127456665039,0,0,0.0
[*]CC([*])OC,[*]C([*])OC,0.22490501403808594,0.2488079071044922,-1,-1,-0.06666666666666665
[*]CCCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,[*]CCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,0.010691642761230469,0.2106761932373047,-1,-1,0.002844950213371167
[*]CC(C)(C)CS([*])(=O)=O,[*]CC(C)(C)S([*])(=O)=O,0.10117626190185547,0.6128625869750977,-1,-1,-0.022222222222222365
[*]Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(Oc4ccc(C5(c6ccc([*])cc6)CC6CCC5C6)cc4)cc3)cc2)cc1,[*]Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(Oc4ccc(C5(c6ccc([*])cc6)C6CCC5C6)cc4)cc3)cc2)cc1,0.007433414459228516,0.18328309059143066,-1,-1,0.005550416281220993
[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCN(CCOC([*])=O)c3ccc(OC)cc3)cc2)cc1,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)OCN(CCOC([*])=O)c3ccc(OC)cc3)cc2)cc1,0.09476661682128906,0.043149471282958984,-1,-1,0.002844950213371167
[*]CCCCNC(=O)CCCCCCC(=O)NCCCCNC(=O)C(=O)N[*],[*]CCCCNC(=O)CCCCCCC(=O)NCCCNC(=O)C(=O)N[*],0.018869876861572266,0.02954721450805664,-1,-1,-0.002645502645502784
[*]CCOCCOC(=O)C(C)C(=O)O[*],[*]CCOCCOC(=O)C(C)C(=O)[*],0.3058137893676758,0.1538228988647461,-1,-1,-0.00952380952380949
[*]C(=O)OCCOC(=O)c1ccc([*])o1,[*]C(=O)OCCOC(=O)c1ccc([*])1,1.7361440658569336,0.28339338302612305,-1,-1,0.0
[*]CCCCCCC(=O)N[*],[*]CCCCCC(=O)N[*],0.04909229278564453,0.13991880416870117,-1,-1,-0.018181818181818077
[*]CCCOc1ccc(C(=O)OC(=O)c2ccccc2C(=O)OC(=O)c2ccc(O[*])cc2)cc1,[*]CCCc1ccc(C(=O)OC(=O)c2ccccc2C(=O)OC(=O)c2ccc(O[*])cc2)cc1,0.10159111022949219,0.2568361759185791,-1,-1,0.003361344537815114
[*]CCCCCc1ccc(CCCCCOC(=O)c2ccc(C(=O)O[*])cc2)cc1,[*]CCCCCc1ccc(CCCCCC(=O)c2ccc(C(=O)O[*])cc2)cc1,0.003310680389404297,0.07271051406860352,-1,-1,0.0022988505747125743
[*]NC(CCC(=O)OCc1ccc(Cl)cc1)C([*])=O,[*]NC(CCC(O)OCc1ccc(Cl)cc1)C([*])=O,0.04847002029418945,0.5321402549743652,0,0,0.0
[*]Nc1cc(NC(=O)Nc2ccc(NC([*])=O)cc2)cc(C(=O)Nc2cccc3c2C(=O)c2ccccc2C3=O)c1,[*]Nc1cc(NC(=O)c2ccc(NC([*])=O)cc2)cc(C(=O)Nc2cccc3c2C(=O)c2ccccc2C3=O)c1,0.02928304672241211,0.4221944808959961,-1,-1,0.004878048780487809
[*]NC(=O)C(=S)C(=O)[*],[*]C(=O)C(=S)C(=O)[*],0.04991579055786133,0.08608770370483398,-1,-1,-0.02777777777777768
[*]c1cc(-c2ccccc2)c([*])s1,[*]1cc(-c2ccccc2)c([*])s1,1.2036232948303223,0.17157292366027832,-1,-1,0.012820512820512775
[*]c1ccc(CCc2ccc(N3C(=O)C(=O)N([*])C3=O)cc2)cc1,[*]c1ccc(Cc2ccc(N3C(=O)C(=O)N([*])C3=O)cc2)cc1,0.1399083137512207,0.6086997985839844,-1,-1,0.007246376811594235
[*]CCCCNC(=O)O[*],[*]CCCCNC(=O)[*],0.37606143951416016,0.24095869064331055,-1,-1,-0.022222222222222365
[*]CCCCCCCCCCC(=O)N[*],[*]CCCCCCCCCCC(=O)[*],0.21485090255737305,0.11333227157592773,-1,-1,-0.00952380952380949
[*]c1cc(OCCCCCCCCCC)cc(-c2nc3cc4sc([*])nc4cc3s2)c1,[*]c1cc(OCCCCCCCCCC)cc(-c2nc3cc4sc([*])nc4cc32)c1,0.2198641300201416,0.06983780860900879,-1,-1,0.006451612903226156
[*]CCOCCOC(=O)CCCCC(=O)O[*],[*]CCOCCOC(=O)CCCCC(=O)[*],0.24258947372436523,0.1448202133178711,-1,-1,-0.007352941176470562
[*]COC(S1)=CC=C1O[*],[*]COC(S1)=C=C1O[*],0.3357558250427246,0.34308815002441406,-1,-1,0.0
[*]CC(=O)OC(=O)c1cccc(O[*])c1,[*]CC(=O)C(=O)c1cccc(O[*])c1,0.22561168670654297,0.49271106719970703,-1,-1,0.0
[*]CCCCCCNC(=O)NCCNC(=O)N[*],[*]CCCCCNC(=O)NCCNC(=O)N[*],0.05947399139404297,0.3283076286315918,-1,-1,-0.006535947712418277
[*]Nc1c(Cl)cc([*])cc1Cl,[*]c1c(Cl)cc([*])cc1Cl,0.1241154670715332,0.3872056007385254,-1,-1,0.0
[*]CCCCCCCCCNC(=O)CC(=O)N[*],[*]CCCCCCCCCNC(=O)C(=O)N[*],0.1866292953491211,0.07306766510009766,-1,-1,-0.006535947712418277
[*]CC(S1)=CC=C1C(=S)O[*],[*]CC(S1)=CC=C1C(S)O[*],0.4616575241088867,0.8289151191711426,0,0,0.0
