SourceID,Source,Candidate,TargetModel,Method,Seed,Budget,QueriesUsed,TargetDrift,TransferDrift
0,[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]SNC(=O)CCCCCCCCC(=O)N[*],GraphMPNN,random,42,10,10,1.1412324905395508,0.2624936103820801
0,[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]SNC(=O)CCCCCCCCC(=O)N[*],GraphMPNN,greedy,42,10,10,1.1412324905395508,0.2624936103820801
0,[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]CNC(=O)SCCCCCCCC(=O)N[*],GraphMPNN,metropolis,42,10,10,0.7352995872497559,0.29172754287719727
0,[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]CNC(=O)SCCCCCCCC(=O)N[*],Transformer,random,42,10,10,0.29172754287719727,0.7352995872497559
0,[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]SNC(=O)SCCCCCCCC(=O)N[*],Transformer,greedy,42,10,10,0.5109515190124512,1.5747127532958984
0,[*]CNC(=O)CCCCCCCCC(=O)N[*],[*]CNC(=O)SCCCCCCCC(=O)N[*],Transformer,metropolis,42,10,10,0.29172754287719727,0.7352995872497559
1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCSCC([*])=O)cc2)C(=O)OC)cc1,GraphMPNN,random,42,10,10,0.2516055107116699,0.23723411560058594
1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCSCC([*])=O)cc2)C(=O)OC)cc1,GraphMPNN,greedy,42,10,10,0.2516055107116699,0.23723411560058594
1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(NC(NC(=S)CCc2ccc(OC(=O)CCCNCCC([*])=O)cc2)C(=O)OC)cc1,GraphMPNN,metropolis,42,10,10,0.4744291305541992,0.2923431396484375
1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(CC(NC(=S)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,Transformer,random,42,10,10,0.26439857482910156,0.19969892501831055
1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(CC(NC(=S)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,Transformer,greedy,42,10,10,0.26439857482910156,0.19969892501831055
1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC)cc1,[*]Oc1ccc(NC(NC(=S)CCc2ccc(OC(=O)CCCNCCC([*])=O)cc2)C(=O)OC)cc1,Transformer,metropolis,42,10,10,0.2923431396484375,0.4744291305541992
2,[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(O[*])c3)c2)c1,[*]CCOCCOCCOc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(N[*])c3)c2)c1,GraphMPNN,random,42,10,10,0.2550692558288574,0.1284327507019043
