source,candidate,target,drift,transfer_drift,budget,method,seed,edit_count
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]SC(=O)CCS(=S)(=I)CCC([*])=O,GraphMPNN,3.1926190853118896,1.5672454833984375,50,metropolis,7,3
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]NC(=O)CCS(=O)(=I)SCC([*])=O,GraphMPNN,3.181074619293213,1.8992748260498047,50,greedy,7,3
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]SC(=O)CCS(=O)(=S)SCC([*])=O,GraphMPNN,2.881716251373291,1.997434139251709,20,greedy,7,3
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=O)(=O)ICS([*])=I,GraphMPNN,2.8225324153900146,0.9655308723449707,50,greedy,1337,3
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]SC(=O)CCS(=C)(=I)CCC([*])=O,GraphMPNN,2.8214025497436523,1.089531421661377,20,metropolis,7,3
[*]C=C([*])c1cccc(C#C)c1,[*]C=I([*])c1cccc(I#C)c1,GraphMPNN,2.8164925575256348,0.4495415687561035,50,greedy,1337,2
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=O)(=I)CCC([*])=O,GraphMPNN,2.7314133644104004,0.3239936828613281,50,random,7,1
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=I)(=O)CCC([*])=O,GraphMPNN,2.7314133644104004,0.02915811538696289,20,random,42,1
[*]CC1CCC(COC(=O)CCCC(=O)O[*])CC1,[*]CS1CCC(COC(=O)CCCS(=I)O[*])CC1,GraphMPNN,2.577362537384033,1.2445707321166992,50,greedy,1337,3
[*]CC(O[*])C1CC(F)(F)C1(F)F,[*]CC(S[*])C1CC(F)(F)S1(F)Br,GraphMPNN,2.5549206733703613,2.5406813621520996,20,greedy,42,3
[*]CC1CCC(COC(=O)CCCC(=O)O[*])CC1,[*]CC1CCC(CSC(=O)CCCS(=I)O[*])CC1,GraphMPNN,2.469883441925049,1.3210105895996094,20,greedy,1337,3
[*]C=C([*])c1cccc(C#C)c1,[*]N=S([*])c1cccc(I#C)c1,GraphMPNN,2.3805346488952637,2.1718366146087646,20,greedy,7,3
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],[*]I(C=C1)=CC=I1C(=I)C(S2)=CC=C2O[*],GraphMPNN,2.3018527030944824,0.007127285003662109,50,greedy,1337,3
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]SC(=O)CCS(=O)(=S)CCC([*])=O,GraphMPNN,2.2775259017944336,1.554184913635254,10,greedy,7,2
[*]CC(O[*])C1CC(F)(F)C1(F)F,[*]CC(O[*])C1CC(F)(F)S1(F)Br,GraphMPNN,2.267212390899658,2.135899543762207,10,greedy,42,2
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],[*]I(S1)=CC=I1C(=S)C(S2)=CC=C2O[*],GraphMPNN,2.266652822494507,0.1712055206298828,50,metropolis,7,2
[*]NC(S1)=CC=C1C(=O)O[*],[*]IC(I1)=CC=C1C(=O)I[*],GraphMPNN,2.1674447059631348,0.5784287452697754,50,greedy,1337,3
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]NC(=O)CCS(=C)(=S)CCC([*])=O,GraphMPNN,2.1523447036743164,1.6507196426391602,10,metropolis,7,3
[*]CC(O[*])C1CC(F)(F)C1(F)F,[*]CC(O[*])C1CC(Br)(F)C1(Br)N,GraphMPNN,2.1301651000976562,2.0541696548461914,50,metropolis,1337,3
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],[*]I(C=C1)=CC=I1C(=S)C(S2)=CC=C2O[*],GraphMPNN,2.10536527633667,0.19752764701843262,10,greedy,1337,2
