SN,smiles,bandgap_chain
1,[*]C=C([*])c1ccc(NC=O)cc1,0.071
222,[*]c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.1718
443,[*]c1nc2ccc(-c3ccc4nc(-c5cccc6cc7c([*])cccc7cc56)sc4c3)cc2s1,2.5701
665,[*]NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc([*])n3)cc2)cc1,2.8819
886,[*]CCOCCOCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(O[*])cc3)cc2)cc1,3.1624
1108,[*]Oc1ccc(C=C2CCCC(=Cc3ccc(OC(=O)CCCCC([*])=O)cc3)C2=O)cc1,3.4421
1329,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1CO,3.702
1551,[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],3.9833
1772,[*]OC(COC(=O)Nc1ccc(Cc2ccc(NC([*])=O)cc2)cc1)c1ccco1,4.2202
1994,[*]CNC(S1)=CC=C1O[*],4.4645
2215,[*]NC(CCC(=O)NCCCO)C([*])=O,4.6647
2437,[*]Cc1ccc(CO[*])cc1,4.8948
2658,[*]CC1CC1COC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,5.1055
2880,[*]CC([*])C(=O)N(CCC)CCC,5.3291
3101,[*]C=CCCCC(Cl)CCC[*],5.5792
3323,[*]CC(=O)NCCCCCCNC(=O)COC(=O)CCCCC(=O)O[*],5.8068
3544,[*]CNC(=O)CC(=O)N[*],6.0152
3766,[*]C(C)C([*])C(=O)OC,6.3068
3987,[*]OC(C)CCOC(=O)CCCCCCCC([*])=O,6.6135
4209,[*]OC(F)(F)C([*])(F)F,9.8351
