source_id,source_smiles,failure_category,failure_reason
sample_0,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_1,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_2,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_3,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_4,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_5,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_6,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_7,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_8,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_9,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_10,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_11,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_12,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_13,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_14,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_15,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_16,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_17,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_18,,software limitation,No QC software installed in environment to generate geometry or run calculation.
sample_19,,software limitation,No QC software installed in environment to generate geometry or run calculation.
