source_index,original_representation,adversarial_representation,attack_family,canonical_equivalent,label_basis,target_value,teacher_model_hash,property_value
0,[*]Cc1nc(-c2ccc(-c3csc([*])n3)cc2)cs1,[*]Cc1nc(-c2ccc(-c3csc([*])n3)cc2)cs1,clean,True,measured,3.9045,,3.9045
0,c1(ccc(cc1)-c1csc(C*)n1)-c1csc(n1)*,c1(ccc(cc1)-c1csc(C*)n1)-c1csc(n1)*,randomization,True,measured_inherited_equivalent,3.9045,,3.9045
0,c1c(-c2ccc(cc2)-c2csc(C*)n2)nc(s1)*,c1c(-c2ccc(cc2)-c2csc(C*)n2)nc(s1)*,randomization,True,measured_inherited_equivalent,3.9045,,3.9045
0,s1cc(-c2ccc(cc2)-c2nc(C*)sc2)nc1*,s1cc(-c2ccc(cc2)-c2nc(C*)sc2)nc1*,randomization,True,measured_inherited_equivalent,3.9045,,3.9045
1,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,clean,True,measured,5.1337,,5.1337
1,c1c(ccc(c1)C(OC(=O)C)(C*)CC(C#N)(*)C#N)OC(=O)C,c1c(ccc(c1)C(OC(=O)C)(C*)CC(C#N)(*)C#N)OC(=O)C,randomization,True,measured_inherited_equivalent,5.1337,,5.1337
1,*C(C#N)(C#N)CC(c1ccc(OC(C)=O)cc1)(OC(=O)C)C*,*C(C#N)(C#N)CC(c1ccc(OC(C)=O)cc1)(OC(=O)C)C*,randomization,True,measured_inherited_equivalent,5.1337,,5.1337
1,*C(CC(C*)(OC(=O)C)c1ccc(cc1)OC(=O)C)(C#N)C#N,*C(CC(C*)(OC(=O)C)c1ccc(cc1)OC(=O)C)(C#N)C#N,randomization,True,measured_inherited_equivalent,5.1337,,5.1337
2,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,clean,True,measured,1.9571,,1.9571
2,c1c(ccc(Oc2ccc(Oc3ccc(cc3)*)c(c2)C(C)(C)C)c1)-n1c(=O)c2c(cc3c(=O)n(*)c(=O)c3c2)c1=O,c1c(ccc(Oc2ccc(Oc3ccc(cc3)*)c(c2)C(C)(C)C)c1)-n1c(=O)c2c(cc3c(=O)n(*)c(=O)c3c2)c1=O,randomization,True,measured_inherited_equivalent,1.9571,,1.9571
2,n1(-c2ccc(Oc3cc(c(cc3)Oc3ccc(cc3)*)C(C)(C)C)cc2)c(c2c(c1=O)cc1c(=O)n(c(=O)c1c2)*)=O,n1(-c2ccc(Oc3cc(c(cc3)Oc3ccc(cc3)*)C(C)(C)C)cc2)c(c2c(c1=O)cc1c(=O)n(c(=O)c1c2)*)=O,randomization,True,measured_inherited_equivalent,1.9571,,1.9571
