source_index,original_representation,adversarial_representation,attack_family,canonical_equivalent,label_basis,target_value,teacher_model_hash,property_value
0,[*]Cc1nc(-c2ccc(-c3csc([*])n3)cc2)cs1,[*]Cc1nc(-c2ccc(-c3csc([*])n3)cc2)cs1,clean,True,measured,3.9045,,3.9045
1,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,clean,True,measured,5.1337,,5.1337
2,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,clean,True,measured,1.9571,,1.9571
3,[*]Oc1ccc(Oc2ccc(C=NCCCCCCN=Cc3ccc([*])cc3)cc2)cc1,[*]Oc1ccc(Oc2ccc(C=NCCCCCCN=Cc3ccc([*])cc3)cc2)cc1,clean,True,measured,4.2528,,4.2528
4,[*]CC(=O)C([*])c1ccc(F)cc1,[*]CC(=O)C([*])c1ccc(F)cc1,clean,True,measured,4.1155,,4.1155
5,[*]Oc1cccc([*])c1,[*]Oc1cccc([*])c1,clean,True,measured,5.0109,,5.0109
6,[*]OC(=O)CCSCc1ccc(CSCCC([*])=O)cc1,[*]OC(=O)CCSCc1ccc(CSCCC([*])=O)cc1,clean,True,measured,4.4934,,4.4934
7,[*]CC(CC(Cl)(Cl)Cl)O[*],[*]CC(CC(Cl)(Cl)Cl)O[*],clean,True,measured,5.5252,,5.5252
8,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1CCCCCCC,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1CCCCCCC,clean,True,measured,3.6937,,3.6937
9,[*]c1csc([*])c1,[*]c1csc([*])c1,clean,True,measured,3.5004,,3.5004
10,[*]C1CC([*])OC(O)O1,[*]C1CC([*])OC(O)O1,clean,True,measured,6.5411,,6.5411
11,[*]Oc1cccc(OC(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)c1,[*]Oc1cccc(OC(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)c1,clean,True,measured,4.1878,,4.1878
12,[*]CCCOC(=O)CCCCCCCCCC(=O)O[*],[*]CCCOC(=O)CCCCCCCCCC(=O)O[*],clean,True,measured,6.7038,,6.7038
13,[*]CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N[*],[*]CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N[*],clean,True,measured,5.7343,,5.7343
14,[*]Nc1ccc([*])cc1OCCCCCCCCCCCC,[*]Nc1ccc([*])cc1OCCCCCCCCCCCC,clean,True,measured,3.9219,,3.9219
15,[*]c1ccc(S([*])(=O)=O)cc1,[*]c1ccc(S([*])(=O)=O)cc1,clean,True,measured,3.8258,,3.8258
16,[*]CCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],[*]CCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],clean,True,measured,5.6387,,5.6387
17,[*]c1cc(CCCCCCCCCC)c([*])s1,[*]c1cc(CCCCCCCCCC)c([*])s1,clean,True,measured,2.3836,,2.3836
18,[*]CC([*])(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,[*]CC([*])(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,clean,True,measured,3.4577,,3.4577
19,[*]CC([*])C(=O)OCCC#N,[*]CC([*])C(=O)OCCC#N,clean,True,measured,6.377000000000002,,6.377000000000002
20,[*]C=C([*])c1ccc(C(=O)Oc2c(F)c(F)c(F)c(F)c2F)cc1,[*]C=C([*])c1ccc(C(=O)Oc2c(F)c(F)c(F)c(F)c2F)cc1,clean,True,measured,2.5164,,2.5164
21,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])C(C)C1,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])C(C)C1,clean,True,measured,5.9905,,5.9905
22,[*]Oc1cccc(Oc2cccc([*])c2)c1C#N,[*]Oc1cccc(Oc2cccc([*])c2)c1C#N,clean,True,measured,4.3119,,4.3119
23,[*]CC([*])Br,[*]CC([*])Br,clean,True,measured,5.7722,,5.7722
24,[*]Oc1c(C)cc([*])cc1C(C)CCCCC,[*]Oc1c(C)cc([*])cc1C(C)CCCCC,clean,True,measured,4.1484,,4.1484
25,[*]OC1CC(c2ccccc2)CC([*])O1,[*]OC1CC(c2ccccc2)CC([*])O1,clean,True,measured,5.7012,,5.7012
26,[*]Oc2cccc(OC(=O)c1cccc(C([*])=O)c1C(F)(F)C(F)(F)C(F)(F)F)c2,[*]Oc2cccc(OC(=O)c1cccc(C([*])=O)c1C(F)(F)C(F)(F)C(F)(F)F)c2,clean,True,measured,4.0962,,4.0962
27,[*]CC(=S)C(=O)C(=S)[*],[*]CC(=S)C(=O)C(=S)[*],clean,True,measured,1.354,,1.354
28,[*]CCN(CCOC(=O)c1cccc(C(=O)O[*])c1)c1ccc(N=Nc2ccc(-c3nc4ccc([N+](=O)[O-])cc4n3CC)cc2)cc1,[*]CCN(CCOC(=O)c1cccc(C(=O)O[*])c1)c1ccc(N=Nc2ccc(-c3nc4ccc([N+](=O)[O-])cc4n3CC)cc2)cc1,clean,True,measured,2.5182,,2.5182
29,[*]COC(=S)O[*],[*]COC(=S)O[*],clean,True,measured,4.7874,,4.7874
30,[*]Oc1ccc(OC(=O)CCC([*])=O)cc1,[*]Oc1ccc(OC(=O)CCC([*])=O)cc1,clean,True,measured,4.5760000000000005,,4.5760000000000005
