attack,attack_category,trained_defense,mean_abs_drift,defense_delta,robustness_transfer,clean_mae,clean_performance_tradeoff,attack_validity_rate,attack_success_rate,stress_threshold_exceedance_rate,paired,defense_training_relation
randomization,representation_preserving_control,clean,0.5922747933965159,0.0,0.0,0.4619162583737434,0.0,0.9762432689261957,0.48118105126541205,,True,original_model_attacked
randomization,representation_preserving_control,randomization,0.3603865240085906,-0.22906319521860793,0.39152142210563534,0.4532936866319632,-0.008622571741780216,0.9762432689261957,0.27157689811810515,,True,same_attack_family
randomization,representation_preserving_control,mcmc,0.5526371462479727,-0.042388473313784425,0.06692442020237499,0.44981823843461044,-0.012098019939132953,0.9762432689261957,0.43964957819597666,,True,different_attack_family
randomization,representation_preserving_control,mixed,0.3614656045636444,-0.23034572744807527,0.3896994965955768,0.44174716214952586,-0.02016909622421753,0.9762432689261957,0.27579493835171964,,True,mixed_defense_contains_attack
probabilistic_mcmc,adversarial_stress_test,clean,0.5316474694102673,0.0,0.0,0.4619162583737434,0.0,0.9752851711026616,,0.4012345679012346,False,original_model_attacked
probabilistic_mcmc,adversarial_stress_test,randomization,0.4696356606529935,-0.0620118087572738,0.11664084252307405,0.4532936866319632,-0.008622571741780216,0.9752851711026616,,0.3447043534762833,False,different_attack_family
probabilistic_mcmc,adversarial_stress_test,mcmc,0.484228836320452,-0.04741863308981531,0.08919187209226198,0.44981823843461044,-0.012098019939132953,0.9752851711026616,,0.35834957764782327,False,same_attack_family
probabilistic_mcmc,adversarial_stress_test,mixed,0.41590605746023357,-0.11574141195003373,0.21770330643804336,0.44174716214952586,-0.02016909622421753,0.9749285940971121,,0.2945963541666667,False,mixed_defense_contains_attack
substitution,chemically_valid_target_changing_perturbation,clean,0.3094747110676662,0.0,0.0,0.4619162583737434,0.0,0.522258064516129,,0.19641754169240272,True,original_model_attacked
substitution,chemically_valid_target_changing_perturbation,randomization,0.2962349858675716,-0.007036040982892436,0.0427812830147527,0.4532936866319632,-0.008622571741780216,0.522258064516129,,0.19950586781964175,True,different_attack_family
substitution,chemically_valid_target_changing_perturbation,mcmc,0.2995260698402127,-0.01983627596209126,0.03214686328692706,0.44981823843461044,-0.012098019939132953,0.522258064516129,,0.2038295243977764,True,different_attack_family
substitution,chemically_valid_target_changing_perturbation,mixed,0.25470363659355066,-0.05396923003658172,0.1769807758610038,0.44174716214952586,-0.02016909622421753,0.522258064516129,,0.15565163681284744,True,mixed_defense_contains_attack
insertion,chemically_valid_target_changing_perturbation,clean,0.44077987289559084,0.0,0.0,0.4619162583737434,0.0,0.4629746835443038,,0.3342447026657553,True,original_model_attacked
insertion,chemically_valid_target_changing_perturbation,randomization,0.3953412195141806,-0.04118062793454037,0.10308695150464242,0.4532936866319632,-0.008622571741780216,0.4629746835443038,,0.27204374572795625,True,different_attack_family
insertion,chemically_valid_target_changing_perturbation,mcmc,0.35751645921927483,-0.05762543346308455,0.1889002170841837,0.44981823843461044,-0.012098019939132953,0.4629746835443038,,0.2576896787423103,True,different_attack_family
insertion,chemically_valid_target_changing_perturbation,mixed,0.3111599819837819,-0.12052187874347349,0.2940694411936374,0.44174716214952586,-0.02016909622421753,0.4629746835443038,,0.20437457279562543,True,mixed_defense_contains_attack
deletion,chemically_valid_target_changing_perturbation,clean,0.39026464592019333,0.0,0.0,0.4619162583737434,0.0,0.5,,0.3056092843326886,True,original_model_attacked
deletion,chemically_valid_target_changing_perturbation,randomization,0.298759599565153,-0.08903848625320838,0.23446921803353027,0.4532936866319632,-0.008622571741780216,0.5,,0.19858156028368795,True,different_attack_family
deletion,chemically_valid_target_changing_perturbation,mcmc,0.327421653355267,-0.07545242710777593,0.16102660905076527,0.44981823843461044,-0.012098019939132953,0.5,,0.2256608639587363,True,different_attack_family
deletion,chemically_valid_target_changing_perturbation,mixed,0.29346342381932977,-0.09967897939036385,0.24803994702778898,0.44174716214952586,-0.02016909622421753,0.5,,0.1824629271437782,True,mixed_defense_contains_attack
rearrangement,chemically_valid_target_changing_perturbation,clean,0.19174175890510345,0.0,0.0,0.4619162583737434,0.0,0.5716374269005848,,0.09462915601023018,True,original_model_attacked
rearrangement,chemically_valid_target_changing_perturbation,randomization,0.13467593235737832,-0.04575824615551017,0.29761814470455583,0.4532936866319632,-0.008622571741780216,0.5716374269005848,,0.04731457800511509,True,different_attack_family
rearrangement,chemically_valid_target_changing_perturbation,mcmc,0.1552090635689933,-0.022964637007629664,0.19053071978019587,0.44981823843461044,-0.012098019939132953,0.5716374269005848,,0.05754475703324808,True,different_attack_family
rearrangement,chemically_valid_target_changing_perturbation,mixed,0.1293348948973829,-0.04982049545349433,0.32547351377227574,0.44174716214952586,-0.02016909622421753,0.5716374269005848,,0.04219948849104859,True,mixed_defense_contains_attack
