polymer_id,original_representation,property_name,property_value,units,source_dataset,split,phase4_attack_family,phase4_attack_category,phase4_label_basis
poly_1487,[*]Cc1nc(-c2ccc(-c3csc([*])n3)cc2)cs1,Bandgap,3.9045,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2689,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,Bandgap,5.1337,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_158,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,Bandgap,1.9571,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1797,[*]Oc1ccc(Oc2ccc(C=NCCCCCCN=Cc3ccc([*])cc3)cc2)cc1,Bandgap,4.2528,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1671,[*]CC(=O)C([*])c1ccc(F)cc1,Bandgap,4.1155,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2561,[*]Oc1cccc([*])c1,Bandgap,5.0109,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2020,[*]OC(=O)CCSCc1ccc(CSCCC([*])=O)cc1,Bandgap,4.4934,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3047,[*]CC(CC(Cl)(Cl)Cl)O[*],Bandgap,5.5252,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1319,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1CCCCCCC,Bandgap,3.6937,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1151,[*]c1csc([*])c1,Bandgap,3.5004,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3932,[*]C1CC([*])OC(O)O1,Bandgap,6.5411,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1747,[*]Oc1cccc(OC(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)c1,Bandgap,4.1878,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4045,[*]CCCOC(=O)CCCCCCCCCC(=O)O[*],Bandgap,6.7038,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3236,[*]CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N[*],Bandgap,5.7343,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1501,[*]Nc1ccc([*])cc1OCCCCCCCCCCCC,Bandgap,3.9219,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1428,[*]c1ccc(S([*])(=O)=O)cc1,Bandgap,3.8258,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3148,[*]CCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],Bandgap,5.6387,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_305,[*]c1cc(CCCCCCCCCC)c([*])s1,Bandgap,2.3836,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1123,[*]CC([*])(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,Bandgap,3.4577,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3819,[*]CC([*])C(=O)OCCC#N,Bandgap,6.377000000000002,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_397,[*]C=C([*])c1ccc(C(=O)Oc2c(F)c(F)c(F)c(F)c2F)cc1,Bandgap,2.5164,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3520,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])C(C)C1,Bandgap,5.9905,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1864,[*]Oc1cccc(Oc2cccc([*])c2)c1C#N,Bandgap,4.3119,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3285,[*]CC([*])Br,Bandgap,5.7722,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1697,[*]Oc1c(C)cc([*])cc1C(C)CCCCC,Bandgap,4.1484,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3201,[*]OC1CC(c2ccccc2)CC([*])O1,Bandgap,5.7012,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1658,[*]Oc2cccc(OC(=O)c1cccc(C([*])=O)c1C(F)(F)C(F)(F)C(F)(F)F)c2,Bandgap,4.0962,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_47,[*]CC(=S)C(=O)C(=S)[*],Bandgap,1.354,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_399,[*]CCN(CCOC(=O)c1cccc(C(=O)O[*])c1)c1ccc(N=Nc2ccc(-c3nc4ccc([N+](=O)[O-])cc4n3CC)cc2)cc1,Bandgap,2.5182,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2334,[*]COC(=S)O[*],Bandgap,4.7874,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2105,[*]Oc1ccc(OC(=O)CCC([*])=O)cc1,Bandgap,4.5760000000000005,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3317,[*]CCCC(C)(C)CNC(=O)CCCCCCCCC(=O)N[*],Bandgap,5.8015,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1760,[*]CCSSSSCCO[*],Bandgap,4.2061,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3171,[*]NC(CCC(=O)OCCCCC)C([*])=O,Bandgap,5.6585,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1035,[*]Nc1cc(NC(=O)c2ccccc2C([*])=O)cc(-c2nnc(-c3ccccn3)o2)c1,Bandgap,3.359,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3055,[*]CCCCCCNC(=O)CCc1ccc(C(C)CC(=O)N[*])cc1,Bandgap,5.5318,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2258,[*]CC([*])n1ccnc1,Bandgap,4.7081,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_67,[*]c1cc(CCCCCCOC(=O)COC)c([*])s1,Bandgap,1.5263,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1133,[*]Oc1cc(C(C)(C)c2ccccc2)c(OC(=O)c2ccc(C([*])=O)cc2)cc1C(C)(C)c1ccccc1,Bandgap,3.4711,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3352,[*]OC([2H])([2H])C([*])([2H])[2H],Bandgap,5.8333,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2081,[*]CC(S[*])C(C)(C)C,Bandgap,4.5517,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1585,[*]CC(COc1ccc(OC)cc1)O[*],Bandgap,4.0197,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1180,[*]OCCOC(=O)CCCC(=O)OCCOc1nc(-c2ccc(OCCCC)cc2)nc([*])c1-c1ccc(OC)cc1,Bandgap,3.5409,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4190,[*]C(F)(F)C([*])(F)OC(F)(F)F,Bandgap,8.0507,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_574,[*]c1cc2c(s1)-c1sc([*])cc1C2(CCCCCCCC)CCCCCCCC,Bandgap,2.7507,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3720,[*]CCCCOC(=O)NCCCNC(=O)O[*],Bandgap,6.2411,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_673,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Bandgap,2.8961,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3649,[*]OC(C)COC(=O)COCC([*])=O,Bandgap,6.1342,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3185,[*]CCC(=O)OCCCC=CCCCOC(=O)CCC1NC(=O)C([*])NC1=O,Bandgap,5.6763,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3666,[*]CCOCCOCCOC(=O)CCCCCCCC(=O)O[*],Bandgap,6.1534,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3425,[*]CCOCC(=O)NCCNC(=O)CO[*],Bandgap,5.8923,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_221,[*]c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,Bandgap,2.1718,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1878,[*]CNC(S1)=CC=C1N[*],Bandgap,4.3295,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1829,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1COC,Bandgap,4.2796,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_834,[*]c1cc(OCCCC)c([*])s1,Bandgap,3.0949,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2848,[*]CC(CCl)(CI)COC(=O)CCCCC(=O)O[*],Bandgap,5.2961,eV,polyverse_bandgap,train,clean,clean,measured_target
