model,reference_model,attack,paired_n,mean_improvement,median_improvement,ci_95_low,ci_95_high,frac_improved,frac_worsened
ordinary_baseline,architecture_control,randomization,3120,-0.23179396986961365,-0.14776897430419922,-0.26251664757728577,-0.20008186995983124,0.3419871794871795,0.6580128205128205
architecture_control,ordinary_baseline,randomization,3120,0.23179396986961365,0.14776897430419922,0.20258502662181854,0.26364585757255554,0.6580128205128205,0.3419871794871795
randomization_robust,ordinary_baseline,randomization,3120,0.3130051791667938,0.20825743675231934,0.28579181432724,0.3408118486404419,0.7262820512820513,0.27371794871794874
randomization_robust,architecture_control,randomization,3120,0.08121120929718018,0.04554271697998047,0.06206749007105827,0.10173829644918442,0.5884615384615385,0.4115384615384615
mixed_robust,ordinary_baseline,randomization,3120,0.3096098303794861,0.20311760902404785,0.2805226743221283,0.33776065707206726,0.7192307692307692,0.28076923076923077
mixed_robust,architecture_control,randomization,3120,0.07781583815813065,0.040982723236083984,0.05948096141219139,0.09728474915027618,0.592948717948718,0.40705128205128205
ordinary_baseline,architecture_control,substitution,1632,-0.009844545274972916,0.00016880035400390625,-0.033319536596536636,0.0072845048271119595,0.5006127450980392,0.4993872549019608
architecture_control,ordinary_baseline,substitution,1632,0.009844545274972916,-0.00016880035400390625,-0.00653858482837677,0.03248303011059761,0.4993872549019608,0.5006127450980392
randomization_robust,ordinary_baseline,substitution,1632,-0.002344439970329404,0.003669261932373047,-0.02280377224087715,0.015429799444973469,0.5110294117647058,0.4889705882352941
randomization_robust,architecture_control,substitution,1632,-0.012188985012471676,0.004090547561645508,-0.030751090496778488,-0.0009957621805369854,0.5140931372549019,0.48590686274509803
mixed_robust,ordinary_baseline,substitution,1632,0.01707383245229721,0.007948160171508789,0.0008122326107695699,0.044115398079156876,0.5281862745098039,0.47181372549019607
mixed_robust,architecture_control,substitution,1632,0.007229287177324295,0.003544449806213379,-0.0018492662347853184,0.019861552864313126,0.5214460784313726,0.47855392156862747
