model,quartile,n_samples,mae,rmse
ordinary_baseline,Q2,149,0.47312618897201225,0.6160047083019822
architecture_control,Q2,149,0.4210901938675235,0.54486683750965
randomization_robust,Q2,149,0.41084787961716623,0.537512168488411
mixed_robust,Q2,149,0.44441888539615093,0.5699026588138438
ordinary_baseline,Q4,143,0.4459433980554966,0.5890584790286547
architecture_control,Q4,143,0.40682620749306847,0.5527648171372852
randomization_robust,Q4,143,0.4072936466563832,0.5618573897737026
mixed_robust,Q4,143,0.3906400646716564,0.5585918712799922
ordinary_baseline,Q3,164,0.4520074226100269,0.6578725931399806
architecture_control,Q3,164,0.4396520338337596,0.6742116725488373
randomization_robust,Q3,164,0.415131136156873,0.6559296981078826
mixed_robust,Q3,164,0.3769628513080318,0.5754556062056321
ordinary_baseline,Q1,175,0.5622951412309919,0.77076018277623
architecture_control,Q1,175,0.5602417995627267,0.748227120714273
randomization_robust,Q1,175,0.5242345027662005,0.7073732352396814
mixed_robust,Q1,175,0.5396415637512207,0.7126292995389032
