model,feature,target,pearson,spearman
ordinary_baseline,length,true_bandgap,-0.4039978360197122,-0.40839407920317294
ordinary_baseline,length,prediction,-0.38768877560238185,-0.40114735454531864
ordinary_baseline,length,abs_error,-0.06679915843998546,-0.04940918893683137
ordinary_baseline,unique_tokens,true_bandgap,-0.6338500529098198,-0.6861933999220825
ordinary_baseline,unique_tokens,prediction,-0.637900556419186,-0.7054953827319547
ordinary_baseline,unique_tokens,abs_error,-0.012905130121314067,0.020732811946834417
ordinary_baseline,ring_syntax_count,true_bandgap,-0.5985548511597679,-0.6836867206148856
ordinary_baseline,ring_syntax_count,prediction,-0.5878538887241417,-0.6994790497509922
ordinary_baseline,ring_syntax_count,abs_error,-0.015217704323386993,0.01422464474348845
ordinary_baseline,aromatic_atom_count,true_bandgap,-0.583094899496919,-0.6594769501148435
ordinary_baseline,aromatic_atom_count,prediction,-0.553928372414629,-0.6463807992437974
ordinary_baseline,aromatic_atom_count,abs_error,-0.052254254398762245,-0.01655564801267547
architecture_control,length,true_bandgap,-0.4039978360197122,-0.40839407920317294
architecture_control,length,prediction,-0.4101904990675235,-0.40323377983022707
architecture_control,length,abs_error,-0.09954245350640403,-0.11209554064964292
architecture_control,unique_tokens,true_bandgap,-0.6338500529098198,-0.6861933999220825
architecture_control,unique_tokens,prediction,-0.6554092391578034,-0.7079532950509769
architecture_control,unique_tokens,abs_error,-0.07154661964977622,-0.05206262253516955
architecture_control,ring_syntax_count,true_bandgap,-0.5985548511597679,-0.6836867206148856
architecture_control,ring_syntax_count,prediction,-0.6278563585732273,-0.7265542487449005
architecture_control,ring_syntax_count,abs_error,-0.07717700515924204,-0.025503424246200005
architecture_control,aromatic_atom_count,true_bandgap,-0.583094899496919,-0.6594769501148435
architecture_control,aromatic_atom_count,prediction,-0.5944150489411567,-0.6713257095386874
architecture_control,aromatic_atom_count,abs_error,-0.1050925943042328,-0.06323640601757956
randomization_robust,length,true_bandgap,-0.4039978360197122,-0.40839407920317294
randomization_robust,length,prediction,-0.4296347881536241,-0.42489307293866313
randomization_robust,length,abs_error,-0.08853739981915813,-0.08377844826100325
randomization_robust,unique_tokens,true_bandgap,-0.6338500529098198,-0.6861933999220825
randomization_robust,unique_tokens,prediction,-0.6713663208433888,-0.7292591612810461
randomization_robust,unique_tokens,abs_error,-0.060451920915954506,-0.02725494262905542
randomization_robust,ring_syntax_count,true_bandgap,-0.5985548511597679,-0.6836867206148856
randomization_robust,ring_syntax_count,prediction,-0.6376315599104424,-0.7356817699438973
randomization_robust,ring_syntax_count,abs_error,-0.0860338622469514,-0.04047508572643282
randomization_robust,aromatic_atom_count,true_bandgap,-0.583094899496919,-0.6594769501148435
randomization_robust,aromatic_atom_count,prediction,-0.6062348307203173,-0.68314788530856
randomization_robust,aromatic_atom_count,abs_error,-0.11215940718066916,-0.07125251683953242
mixed_robust,length,true_bandgap,-0.4039978360197122,-0.40839407920317294
mixed_robust,length,prediction,-0.42130156865435936,-0.4152066819511877
mixed_robust,length,abs_error,-0.11609958180199065,-0.11570389400268348
mixed_robust,unique_tokens,true_bandgap,-0.6338500529098198,-0.6861933999220825
mixed_robust,unique_tokens,prediction,-0.6679124694489271,-0.721982475394147
mixed_robust,unique_tokens,abs_error,-0.08154543283710704,-0.05545991596732484
mixed_robust,ring_syntax_count,true_bandgap,-0.5985548511597679,-0.6836867206148856
mixed_robust,ring_syntax_count,prediction,-0.6361800166270938,-0.7391255810274237
mixed_robust,ring_syntax_count,abs_error,-0.08740924739724068,-0.03517780411863836
mixed_robust,aromatic_atom_count,true_bandgap,-0.583094899496919,-0.6594769501148435
mixed_robust,aromatic_atom_count,prediction,-0.6164326358349678,-0.6973250175457422
mixed_robust,aromatic_atom_count,abs_error,-0.11822230909795221,-0.06703817382763326
