model,quartile,n_samples,mae,rmse
ordinary_baseline,Q2,166,0.45671755854365337,0.6077483313320571
architecture_control,Q2,166,0.4575202643658743,0.611716703260783
randomization_robust,Q2,166,0.42185999658193934,0.5695976144021813
mixed_robust,Q2,166,0.44768505164686456,0.596525649806641
ordinary_baseline,Q4,150,0.4591835737330119,0.6092273909931336
architecture_control,Q4,150,0.4262728357747396,0.5825270561546275
randomization_robust,Q4,150,0.42020333810933425,0.5778913869871476
mixed_robust,Q4,150,0.40526690735117593,0.5654413983836345
ordinary_baseline,Q3,144,0.46015102808740405,0.6552838750834445
architecture_control,Q3,144,0.433252750770251,0.6742799710829318
randomization_robust,Q3,144,0.4155173269748688,0.6625122311115967
mixed_robust,Q3,144,0.3875267154190275,0.5843143839576012
ordinary_baseline,Q1,171,0.5604805630377162,0.7733882951931327
architecture_control,Q1,171,0.5192172495211775,0.6923213446465938
randomization_robust,Q1,171,0.5051936527207581,0.680392930654719
mixed_robust,Q1,171,0.5112837587523879,0.6839864752428234
