source_id,num_tokens,raw_candidates,unique_valid_candidates
poly_3655,23,128,77
poly_2369,59,236,133
poly_1215,54,190,100
poly_4015,29,144,85
poly_517,32,136,73
poly_1159,66,158,70
poly_2493,36,154,94
poly_2226,38,120,61
poly_17,20,58,27
poly_956,47,192,106
poly_898,71,188,87
poly_1667,22,37,13
poly_3362,39,256,157
poly_3703,23,88,61
poly_793,71,188,87
poly_3189,36,200,120
poly_2734,36,138,76
poly_1549,25,122,74
poly_3746,26,112,63
poly_2736,29,176,107
poly_1005,32,136,73
poly_367,21,55,26
poly_2223,32,106,56
poly_3386,24,92,60
poly_1160,20,84,46
poly_1072,19,58,37
poly_675,27,61,31
poly_754,52,130,59
poly_2459,14,64,44
poly_155,46,171,95
poly_2461,31,98,54
poly_2368,60,228,130
poly_512,89,250,119
poly_1419,20,84,46
poly_2967,19,84,49
poly_2076,41,104,58
poly_1298,89,250,130
poly_1468,32,75,36
poly_2730,68,276,150
poly_1609,46,264,158
poly_1809,26,68,32
poly_3627,14,60,38
poly_660,31,71,37
poly_1826,44,102,55
poly_2932,20,88,50
poly_442,56,104,36
poly_449,30,124,66
poly_2437,63,252,145
poly_2772,23,96,58
poly_3030,26,78,45
poly_3779,20,104,62
poly_2836,25,144,87
poly_2367,20,50,31
poly_1211,34,61,20
poly_3019,26,152,92
poly_3129,16,60,40
poly_2068,38,124,64
poly_782,77,156,57
poly_45,33,95,44
poly_3063,8,32,22
poly_903,56,206,110
poly_3763,20,72,45
poly_990,79,218,103
poly_1689,62,206,116
poly_2093,40,224,134
poly_3799,23,112,69
poly_930,25,87,47
poly_3620,14,76,46
poly_2098,64,208,104
poly_1493,57,190,97
poly_1294,44,172,94
poly_2531,31,114,65
poly_514,70,212,104
poly_244,18,68,38
poly_466,22,37,13
poly_1171,43,128,63
poly_3842,13,68,41
poly_3552,18,108,66
poly_1117,46,146,78
poly_3629,23,128,77
poly_2356,16,72,40
poly_1461,23,39,12
poly_483,35,95,70
poly_1700,25,82,43
poly_3290,24,136,82
poly_2156,17,42,27
poly_3385,24,136,82
poly_967,20,84,46
poly_3072,17,80,47
poly_3316,32,168,106
poly_259,33,110,55
poly_231,36,78,26
poly_2052,59,182,102
poly_128,44,138,66
poly_2200,31,114,65
poly_32,23,60,29
poly_2124,35,136,91
poly_1654,66,272,145
poly_189,83,218,99
poly_769,66,130,46
