source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_3655,ordinary_baseline,random,5,1.0317554473876953,1.0317554473876953,1.0,1
poly_2369,ordinary_baseline,random,5,0.4678497314453125,1.623910665512085,0.2881006581096507,0
poly_1215,ordinary_baseline,random,5,0.5487511157989502,1.1054532527923584,0.4964037279847095,0
poly_4015,ordinary_baseline,random,5,0.9245867729187012,1.128633975982666,0.8192087006008237,0
poly_517,ordinary_baseline,random,5,0.4716167449951172,0.9864025115966797,0.4781179482518916,0
poly_1159,ordinary_baseline,random,5,0.10471963882446289,0.7617545127868652,0.1374716356340942,0
poly_2493,ordinary_baseline,random,5,0.2050619125366211,2.248424768447876,0.09120247891512895,0
poly_2226,ordinary_baseline,random,5,1.6637754440307617,1.6637754440307617,1.0,1
poly_17,ordinary_baseline,random,5,3.5236315727233887,3.5236318111419678,0.9999999323372611,1
poly_956,ordinary_baseline,random,5,0.09297847747802734,1.9090721607208252,0.04870349030856992,0
poly_898,ordinary_baseline,random,5,0.3616526126861572,1.0153427124023438,0.3561877268321273,0
poly_1667,ordinary_baseline,random,5,1.50278902053833,1.584895133972168,0.9481946081643533,0
poly_3362,ordinary_baseline,random,5,0.11713743209838867,1.05812406539917,0.1107029278784992,0
poly_3703,ordinary_baseline,random,5,0.8817520141601562,1.7056069374084473,0.516972577222228,0
poly_793,ordinary_baseline,random,5,0.09964585304260254,1.0044810771942139,0.09920132425086617,0
poly_3189,ordinary_baseline,random,5,0.31903505325317383,0.6629328727722168,0.4812479005891657,0
poly_2734,ordinary_baseline,random,5,0.32146120071411133,2.4614920616149902,0.13059607452205227,0
poly_1549,ordinary_baseline,random,5,0.6478095054626465,3.273710012435913,0.19788237290468566,0
poly_3746,ordinary_baseline,random,5,0.6398148536682129,1.5081837177276611,0.4242287236943549,0
poly_2736,ordinary_baseline,random,5,0.5982532501220703,0.6674542427062988,0.8963209937753304,0
poly_1005,ordinary_baseline,random,5,0.25468897819519043,1.3688099384307861,0.18606599137289123,0
poly_367,ordinary_baseline,random,5,1.9158861637115479,1.9158859252929688,1.0000001244429932,1
poly_2223,ordinary_baseline,random,5,0.3713080883026123,1.5108239650726318,0.24576528893275923,0
poly_3386,ordinary_baseline,random,5,0.6159205436706543,1.347743034362793,0.4570014668722505,0
