raw_string,num_wildcards,wildcard_neighbors,bond_types,direction_encoded,aromaticity,formal_charge,stereochemistry,repeat_ambiguity
[*]C=C([*])c1ccc(NC=O)cc1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]CCCCCC[N+]([*])(C)C,2,"C, N","SINGLE, SINGLE",No,False,1,False,Unambiguous 2D
[*]C=C([*])c1ccccc1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]CCCCCC[N+](C)(C)CCCCC[N+]([*])(C)C,2,"C, N","SINGLE, SINGLE",No,False,2,False,Unambiguous 2D
[*]C=C1C=C([*])C[N+](CCCCCCCC)(CCCCS(=O)(=O)O)C1,2,"C, C","SINGLE, SINGLE",No,False,1,False,Unambiguous 2D
[*]C=C([*])c1ccc(C#C)cc1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=C([*])c1ccc(N)cc1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=c1ccc(=c2ccc(=Cc3ccc([*])s3)s2)s1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1cc2c(s1)-c1sc([*])cc1C2=C(C#N)C#N,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]/C=C\C=C[*],2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]C=CC=CC=CC=C([*])CCS(=O)(=O)O,2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]c1sc([*])c2nc(-c3ccccc3)c(CCCCCCC)nc12,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=c1ccc(=c2ccc(=Cc3ccc(-c4ccc([*])s4)s3)s2)s1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C#CC(=C([*])c1ccccc1)c1ccccc1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1sc([*])c2nc(CCCCCC)c(CCCCCC)nc12,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=C([*])C#N,2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]C=C([*])c1cccc(C#C)c1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1ccc(-n2c(=O)c3ccc4c5cc6c([*])ccc6n5c(=O)c-4cc3c2=O)cc1C,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
