row_index,model,token_length,clean_prediction,shuffle_prediction,reverse_prediction,shuffle_absolute_drift,reverse_absolute_drift,chemical_status
3026,clean_transformer,16,5.2520137,4.5496016,5.236329,0.7024121,0.015684605,not_evaluated_nonchemical_positional_probe
3026,defended_transformer,16,5.4894166,5.111969,4.214494,0.3774476,1.2749224,not_evaluated_nonchemical_positional_probe
3131,clean_transformer,32,3.7227292,4.4506845,4.3166323,0.72795534,0.59390306,not_evaluated_nonchemical_positional_probe
3131,defended_transformer,32,3.3701406,3.829656,4.5369663,0.45951533,1.1668258,not_evaluated_nonchemical_positional_probe
2965,clean_transformer,29,5.1419873,5.198201,5.2975183,0.056213856,0.15553093,not_evaluated_nonchemical_positional_probe
2965,defended_transformer,29,4.9056497,5.179342,5.625123,0.27369213,0.71947336,not_evaluated_nonchemical_positional_probe
3514,clean_transformer,44,1.804718,2.9991946,2.6052904,1.1944766,0.8005724,not_evaluated_nonchemical_positional_probe
3514,defended_transformer,44,2.7701705,3.079061,3.659943,0.30889058,0.88977265,not_evaluated_nonchemical_positional_probe
3081,clean_transformer,36,5.790325,6.102189,6.1712146,0.3118639,0.38088942,not_evaluated_nonchemical_positional_probe
3081,defended_transformer,36,6.329377,6.127181,6.0345907,0.20219612,0.29478645,not_evaluated_nonchemical_positional_probe
3195,clean_transformer,69,2.6593053,3.113665,2.7624376,0.45435977,0.10313225,not_evaluated_nonchemical_positional_probe
3195,defended_transformer,69,2.6276207,2.5800002,2.3267646,0.047620535,0.3008561,not_evaluated_nonchemical_positional_probe
3473,clean_transformer,51,4.063875,3.6683278,3.9489634,0.3955474,0.114911795,not_evaluated_nonchemical_positional_probe
3473,defended_transformer,51,3.9724367,3.4691663,2.77172,0.5032704,1.2007167,not_evaluated_nonchemical_positional_probe
3051,clean_transformer,29,4.8469076,4.218938,3.8108983,0.62796974,1.0360093,not_evaluated_nonchemical_positional_probe
3051,defended_transformer,29,4.9994836,3.3647618,4.274382,1.6347218,0.7251015,not_evaluated_nonchemical_positional_probe
3446,clean_transformer,5,4.9372063,5.3656745,5.314699,0.42846823,0.3774929,not_evaluated_nonchemical_positional_probe
3446,defended_transformer,5,4.573353,4.925094,4.7281713,0.3517413,0.15481853,not_evaluated_nonchemical_positional_probe
3553,clean_transformer,30,4.4670906,3.6709094,4.0427074,0.7961812,0.42438316,not_evaluated_nonchemical_positional_probe
3553,defended_transformer,30,4.429022,2.738492,3.4028234,1.6905298,1.0261984,not_evaluated_nonchemical_positional_probe
3530,clean_transformer,40,4.78216,4.4835196,4.489238,0.29864025,0.29292202,not_evaluated_nonchemical_positional_probe
3530,defended_transformer,40,4.1863523,4.89087,4.2134724,0.70451784,0.027120113,not_evaluated_nonchemical_positional_probe
2996,clean_transformer,20,6.5816097,5.778404,5.747016,0.8032055,0.8345938,not_evaluated_nonchemical_positional_probe
2996,defended_transformer,20,6.7996874,6.0447493,6.1320195,0.7549381,0.66766787,not_evaluated_nonchemical_positional_probe
3496,clean_transformer,41,3.7983766,3.5668945,2.4298627,0.23148203,1.3685138,not_evaluated_nonchemical_positional_probe
3496,defended_transformer,41,2.764546,3.595026,3.3250008,0.8304801,0.56045485,not_evaluated_nonchemical_positional_probe
3008,clean_transformer,79,4.0600433,3.3892207,4.224005,0.6708226,0.16396189,not_evaluated_nonchemical_positional_probe
