row_index,model,token_length,clean_prediction,shuffle_prediction,reverse_prediction,shuffle_absolute_drift,reverse_absolute_drift,chemical_status
2946,clean_transformer,23,5.9502053,5.678915,5.2098927,0.2712903,0.7403126,not_evaluated_nonchemical_positional_probe
2946,defended_transformer,23,5.8067513,5.8728337,5.4997735,0.06608248,0.30697775,not_evaluated_nonchemical_positional_probe
2947,clean_transformer,59,4.8589506,3.9797714,3.5787225,0.87917924,1.2802281,not_evaluated_nonchemical_positional_probe
2947,defended_transformer,59,5.056303,3.8469787,2.8268602,1.2093244,2.2294428,not_evaluated_nonchemical_positional_probe
2948,clean_transformer,54,3.1712132,4.222934,3.5040631,1.0517206,0.33284998,not_evaluated_nonchemical_positional_probe
2948,defended_transformer,54,3.7073154,3.456533,2.9166465,0.2507825,0.79066896,not_evaluated_nonchemical_positional_probe
2949,clean_transformer,29,6.4071035,6.161586,5.927024,0.24551773,0.48007965,not_evaluated_nonchemical_positional_probe
2949,defended_transformer,29,6.1868906,5.9754715,6.012021,0.2114191,0.17486954,not_evaluated_nonchemical_positional_probe
2950,clean_transformer,32,2.866514,2.860324,3.186244,0.0061900616,0.31973004,not_evaluated_nonchemical_positional_probe
2950,defended_transformer,32,2.6435606,3.5604954,3.6327808,0.9169347,0.98922014,not_evaluated_nonchemical_positional_probe
2951,clean_transformer,66,3.3051934,2.798036,3.648295,0.5071573,0.3431015,not_evaluated_nonchemical_positional_probe
2951,defended_transformer,66,3.0827093,2.211491,2.601663,0.8712182,0.4810462,not_evaluated_nonchemical_positional_probe
2952,clean_transformer,36,4.619564,4.6283307,4.5858135,0.008766651,0.033750534,not_evaluated_nonchemical_positional_probe
2952,defended_transformer,36,4.962315,4.299867,3.4289517,0.6624479,1.5333633,not_evaluated_nonchemical_positional_probe
2953,clean_transformer,38,4.907506,4.9809866,2.7309265,0.073480606,2.1765795,not_evaluated_nonchemical_positional_probe
2953,defended_transformer,38,4.1489944,3.6618888,2.8403025,0.4871056,1.308692,not_evaluated_nonchemical_positional_probe
2954,clean_transformer,20,0.15965843,2.2643266,4.1370516,2.1046681,3.9773932,not_evaluated_nonchemical_positional_probe
2954,defended_transformer,20,1.247741,3.4160428,3.1466012,2.1683018,1.8988602,not_evaluated_nonchemical_positional_probe
2955,clean_transformer,47,4.1455913,3.5177195,4.493551,0.62787175,0.34795952,not_evaluated_nonchemical_positional_probe
2955,defended_transformer,47,3.8070264,3.3045135,3.5305142,0.50251293,0.27651215,not_evaluated_nonchemical_positional_probe
2956,clean_transformer,71,2.4230201,2.8283916,3.0165925,0.40537143,0.5935724,not_evaluated_nonchemical_positional_probe
2956,defended_transformer,71,2.8426836,2.787657,2.5785098,0.05502653,0.26417375,not_evaluated_nonchemical_positional_probe
2957,clean_transformer,22,4.574669,4.9339046,3.4671588,0.35923576,1.1075101,not_evaluated_nonchemical_positional_probe
2957,defended_transformer,22,4.177055,4.158612,3.8754485,0.018443108,0.30160642,not_evaluated_nonchemical_positional_probe
2958,clean_transformer,39,5.8757386,6.124675,5.2927938,0.24893618,0.58294487,not_evaluated_nonchemical_positional_probe
2958,defended_transformer,39,5.894083,6.260723,5.7850795,0.3666401,0.109003544,not_evaluated_nonchemical_positional_probe
2959,clean_transformer,23,6.6404705,7.652178,6.7395554,1.0117073,0.099084854,not_evaluated_nonchemical_positional_probe
2959,defended_transformer,23,6.740588,7.2958198,7.174117,0.5552316,0.4335289,not_evaluated_nonchemical_positional_probe
2960,clean_transformer,71,2.3436615,3.326647,3.4903862,0.9829855,1.1467247,not_evaluated_nonchemical_positional_probe
2960,defended_transformer,71,2.2707617,3.3100812,2.7287436,1.0393195,0.45798182,not_evaluated_nonchemical_positional_probe
2961,clean_transformer,36,5.8938255,5.7162566,5.0706024,0.17756891,0.8232231,not_evaluated_nonchemical_positional_probe
2961,defended_transformer,36,5.613245,5.795289,5.6304007,0.18204403,0.017155647,not_evaluated_nonchemical_positional_probe
2962,clean_transformer,36,5.063513,4.368085,4.3128333,0.6954279,0.7506795,not_evaluated_nonchemical_positional_probe
2962,defended_transformer,36,4.496575,3.772119,3.2495022,0.72445583,1.2470727,not_evaluated_nonchemical_positional_probe
2963,clean_transformer,25,4.434221,5.152928,5.3192143,0.7187071,0.88499355,not_evaluated_nonchemical_positional_probe
2963,defended_transformer,25,3.8508868,5.2425613,4.6461635,1.3916745,0.79527664,not_evaluated_nonchemical_positional_probe
2964,clean_transformer,26,5.4131455,3.9207044,4.2601566,1.4924412,1.1529889,not_evaluated_nonchemical_positional_probe
2964,defended_transformer,26,5.907054,5.552451,3.9532847,0.3546028,1.9537692,not_evaluated_nonchemical_positional_probe
2965,clean_transformer,29,5.1419873,5.0287676,5.2975183,0.11321974,0.15553093,not_evaluated_nonchemical_positional_probe
2965,defended_transformer,29,4.9056497,5.242847,5.625123,0.3371973,0.71947336,not_evaluated_nonchemical_positional_probe
2966,clean_transformer,32,2.3133986,3.2068257,2.0062,0.89342713,0.30719852,not_evaluated_nonchemical_positional_probe
2966,defended_transformer,32,2.7933097,3.5863662,3.0086417,0.7930565,0.21533203,not_evaluated_nonchemical_positional_probe
2967,clean_transformer,21,0.9972608,3.684259,3.5557861,2.6869981,2.5585253,not_evaluated_nonchemical_positional_probe
2967,defended_transformer,21,0.6537683,3.0832238,2.9420376,2.4294555,2.2882693,not_evaluated_nonchemical_positional_probe
2968,clean_transformer,32,3.8399482,4.4175444,3.9287138,0.5775962,0.08876562,not_evaluated_nonchemical_positional_probe
2968,defended_transformer,32,3.9800322,3.3716183,3.1511383,0.60841393,0.8288939,not_evaluated_nonchemical_positional_probe
2969,clean_transformer,24,6.427052,6.1434526,6.1560483,0.28359938,0.27100372,not_evaluated_nonchemical_positional_probe
2969,defended_transformer,24,6.5819073,5.9836597,6.2235374,0.5982475,0.35836983,not_evaluated_nonchemical_positional_probe
2970,clean_transformer,20,3.7856047,4.602827,4.067406,0.81722236,0.28180146,not_evaluated_nonchemical_positional_probe
2970,defended_transformer,20,4.0323973,4.556338,4.5878625,0.52394056,0.5554652,not_evaluated_nonchemical_positional_probe
2971,clean_transformer,19,3.4568162,3.951904,5.013139,0.49508786,1.5563226,not_evaluated_nonchemical_positional_probe
2971,defended_transformer,19,3.7049143,4.199032,4.255051,0.4941175,0.5501368,not_evaluated_nonchemical_positional_probe
2972,clean_transformer,27,3.4384315,4.392688,3.5487084,0.9542563,0.11027694,not_evaluated_nonchemical_positional_probe
2972,defended_transformer,27,3.4599204,3.9050784,3.8312058,0.445158,0.37128544,not_evaluated_nonchemical_positional_probe
2973,clean_transformer,52,3.395348,2.123698,3.5814972,1.2716501,0.18614912,not_evaluated_nonchemical_positional_probe
2973,defended_transformer,52,3.6057725,3.136478,3.1316736,0.46929455,0.47409892,not_evaluated_nonchemical_positional_probe
2974,clean_transformer,14,4.994064,5.4114766,5.425258,0.41741276,0.4311943,not_evaluated_nonchemical_positional_probe
2974,defended_transformer,14,4.973879,5.4075356,5.45516,0.4336567,0.48128128,not_evaluated_nonchemical_positional_probe
2975,clean_transformer,46,1.2124293,3.812169,3.112952,2.5997398,1.9005227,not_evaluated_nonchemical_positional_probe
2975,defended_transformer,46,1.7273462,4.0879116,3.2549248,2.3605654,1.5275786,not_evaluated_nonchemical_positional_probe
2976,clean_transformer,31,4.374101,3.9417715,3.7923048,0.43232965,0.5817964,not_evaluated_nonchemical_positional_probe
2976,defended_transformer,31,3.8000054,3.4024282,3.4025764,0.3975773,0.397429,not_evaluated_nonchemical_positional_probe
2977,clean_transformer,60,4.4765654,4.7630754,4.3275266,0.28651,0.14903879,not_evaluated_nonchemical_positional_probe
2977,defended_transformer,60,4.2546268,4.5489473,3.3531032,0.29432058,0.9015236,not_evaluated_nonchemical_positional_probe
2978,clean_transformer,89,2.8269973,3.5033283,2.3394487,0.67633104,0.4875486,not_evaluated_nonchemical_positional_probe
2978,defended_transformer,89,2.7027965,3.115294,2.3963664,0.41249752,0.3064301,not_evaluated_nonchemical_positional_probe
2979,clean_transformer,20,3.7573566,3.2225375,4.0023074,0.5348191,0.24495077,not_evaluated_nonchemical_positional_probe
2979,defended_transformer,20,3.7873068,3.171749,4.089007,0.6155577,0.30170012,not_evaluated_nonchemical_positional_probe
2980,clean_transformer,19,5.692812,5.9803867,5.458541,0.28757477,0.23427105,not_evaluated_nonchemical_positional_probe
2980,defended_transformer,19,5.419339,6.094782,5.8867426,0.6754427,0.4674034,not_evaluated_nonchemical_positional_probe
2981,clean_transformer,41,5.187361,4.754039,5.508537,0.43332195,0.32117605,not_evaluated_nonchemical_positional_probe
2981,defended_transformer,41,4.648473,4.6734443,4.977866,0.024971485,0.3293934,not_evaluated_nonchemical_positional_probe
2982,clean_transformer,89,4.114041,3.585688,3.740172,0.52835274,0.37386894,not_evaluated_nonchemical_positional_probe
2982,defended_transformer,89,3.7105932,2.463232,3.082538,1.2473612,0.62805533,not_evaluated_nonchemical_positional_probe
2983,clean_transformer,32,3.2980247,4.362358,3.329796,1.0643334,0.03177142,not_evaluated_nonchemical_positional_probe
2983,defended_transformer,32,4.2552137,4.181334,3.5137153,0.07387972,0.7414985,not_evaluated_nonchemical_positional_probe
2984,clean_transformer,68,4.5209,3.0385656,4.3697863,1.4823341,0.15111351,not_evaluated_nonchemical_positional_probe
2984,defended_transformer,68,3.9711537,2.6897748,4.205576,1.281379,0.2344222,not_evaluated_nonchemical_positional_probe
2985,clean_transformer,46,4.858295,5.2015185,5.257925,0.34322357,0.39963007,not_evaluated_nonchemical_positional_probe
2985,defended_transformer,46,5.143887,5.8212967,5.312571,0.67740965,0.168684,not_evaluated_nonchemical_positional_probe
2986,clean_transformer,26,4.450892,2.0069392,2.9057448,2.4439528,1.5451472,not_evaluated_nonchemical_positional_probe
2986,defended_transformer,26,4.6488934,2.8958983,4.068495,1.752995,0.58039856,not_evaluated_nonchemical_positional_probe
2987,clean_transformer,14,5.9661474,5.71027,5.597234,0.2558775,0.36891365,not_evaluated_nonchemical_positional_probe
2987,defended_transformer,14,5.743453,6.09843,5.8574605,0.35497713,0.11400747,not_evaluated_nonchemical_positional_probe
2988,clean_transformer,31,3.5938802,3.812561,3.9580145,0.21868086,0.3641343,not_evaluated_nonchemical_positional_probe
2988,defended_transformer,31,3.4529724,4.4544225,3.7516294,1.0014501,0.29865694,not_evaluated_nonchemical_positional_probe
2989,clean_transformer,44,4.768973,4.315473,5.029251,0.4534998,0.26027822,not_evaluated_nonchemical_positional_probe
2989,defended_transformer,44,4.735448,4.412048,4.4127216,0.32340002,0.32272625,not_evaluated_nonchemical_positional_probe
2990,clean_transformer,20,4.431862,5.2513676,4.9629273,0.8195057,0.53106546,not_evaluated_nonchemical_positional_probe
2990,defended_transformer,20,4.997288,5.4337873,4.6680746,0.43649912,0.32921362,not_evaluated_nonchemical_positional_probe
2991,clean_transformer,56,2.8821013,2.8716857,1.8356941,0.010415554,1.0464072,not_evaluated_nonchemical_positional_probe
2991,defended_transformer,56,2.5871441,3.0665011,2.4053054,0.479357,0.18183875,not_evaluated_nonchemical_positional_probe
2992,clean_transformer,30,2.1449244,3.876981,3.0851965,1.7320566,0.9402721,not_evaluated_nonchemical_positional_probe
2992,defended_transformer,30,3.2515798,3.6804357,3.774831,0.4288559,0.5232513,not_evaluated_nonchemical_positional_probe
2993,clean_transformer,63,4.6924605,3.730959,3.588263,0.9615016,1.1041975,not_evaluated_nonchemical_positional_probe
2993,defended_transformer,63,4.8487563,3.9836001,2.7977815,0.8651562,2.0509748,not_evaluated_nonchemical_positional_probe
2994,clean_transformer,23,5.358765,5.9748507,5.306264,0.6160855,0.0525012,not_evaluated_nonchemical_positional_probe
2994,defended_transformer,23,5.565636,5.5778503,5.1032953,0.012214184,0.46234083,not_evaluated_nonchemical_positional_probe
2995,clean_transformer,26,4.942128,4.9843254,2.817956,0.042197227,2.1241722,not_evaluated_nonchemical_positional_probe
2995,defended_transformer,26,4.3641243,4.648759,3.6665542,0.2846346,0.6975701,not_evaluated_nonchemical_positional_probe
2996,clean_transformer,20,6.5816097,6.1387105,5.747016,0.44289923,0.8345938,not_evaluated_nonchemical_positional_probe
2996,defended_transformer,20,6.7996874,6.350675,6.1320195,0.44901228,0.66766787,not_evaluated_nonchemical_positional_probe
2997,clean_transformer,25,5.636433,5.1264944,5.565224,0.5099387,0.071208954,not_evaluated_nonchemical_positional_probe
2997,defended_transformer,25,5.824042,5.6130667,6.0755754,0.21097517,0.2515335,not_evaluated_nonchemical_positional_probe
2998,clean_transformer,20,4.542486,4.713994,4.9818745,0.17150784,0.43938828,not_evaluated_nonchemical_positional_probe
2998,defended_transformer,20,3.5866714,4.798227,4.4047556,1.2115555,0.81808424,not_evaluated_nonchemical_positional_probe
2999,clean_transformer,34,3.6390383,3.8439848,4.6441565,0.20494652,1.0051181,not_evaluated_nonchemical_positional_probe
2999,defended_transformer,34,3.6088,3.3176312,4.136597,0.2911687,0.5277972,not_evaluated_nonchemical_positional_probe
3000,clean_transformer,26,5.4748435,6.023714,5.214348,0.54887056,0.26049566,not_evaluated_nonchemical_positional_probe
3000,defended_transformer,26,5.605751,5.9594984,5.3368244,0.35374737,0.26892662,not_evaluated_nonchemical_positional_probe
3001,clean_transformer,16,6.3122416,6.04137,5.5924225,0.27087164,0.71981907,not_evaluated_nonchemical_positional_probe
3001,defended_transformer,16,6.396467,5.3783135,5.944547,1.0181537,0.45192003,not_evaluated_nonchemical_positional_probe
3002,clean_transformer,38,4.925358,4.2628927,3.944901,0.6624651,0.9804568,not_evaluated_nonchemical_positional_probe
3002,defended_transformer,38,4.3039217,3.44034,3.451406,0.86358166,0.8525157,not_evaluated_nonchemical_positional_probe
3003,clean_transformer,77,3.4962962,3.3342843,3.6348019,0.16201186,0.1385057,not_evaluated_nonchemical_positional_probe
3003,defended_transformer,77,3.0837865,3.190956,3.0703382,0.10716963,0.013448238,not_evaluated_nonchemical_positional_probe
3004,clean_transformer,33,1.7654343,2.7930233,3.2380683,1.0275891,1.4726341,not_evaluated_nonchemical_positional_probe
3004,defended_transformer,33,3.4106,2.2433121,3.323989,1.1672878,0.08661103,not_evaluated_nonchemical_positional_probe
3005,clean_transformer,8,6.062708,6.5794153,6.3833213,0.5167074,0.32061338,not_evaluated_nonchemical_positional_probe
3005,defended_transformer,8,6.194091,6.707884,6.402131,0.513793,0.20804024,not_evaluated_nonchemical_positional_probe
3006,clean_transformer,56,4.1528697,3.599887,3.1667924,0.5529828,0.9860773,not_evaluated_nonchemical_positional_probe
3006,defended_transformer,56,4.095347,3.5468202,3.182931,0.54852676,0.912416,not_evaluated_nonchemical_positional_probe
3007,clean_transformer,20,5.8005743,4.491373,3.1207473,1.3092012,2.679827,not_evaluated_nonchemical_positional_probe
3007,defended_transformer,20,6.0769787,5.197708,2.984165,0.87927055,3.0928137,not_evaluated_nonchemical_positional_probe
3008,clean_transformer,79,4.0600433,3.1377258,4.224005,0.9223175,0.16396189,not_evaluated_nonchemical_positional_probe
3008,defended_transformer,79,3.6712554,2.5305288,3.7487278,1.1407266,0.07747245,not_evaluated_nonchemical_positional_probe
3009,clean_transformer,62,4.3448696,3.94889,3.4282656,0.39597964,0.91660404,not_evaluated_nonchemical_positional_probe
3009,defended_transformer,62,4.2436085,3.580264,3.1108875,0.6633444,1.132721,not_evaluated_nonchemical_positional_probe
3010,clean_transformer,40,5.6306787,5.3195972,5.433111,0.3110814,0.19756746,not_evaluated_nonchemical_positional_probe
3010,defended_transformer,40,5.6846,5.013681,5.565081,0.67091894,0.11951876,not_evaluated_nonchemical_positional_probe
3011,clean_transformer,23,5.9909754,6.601514,6.26347,0.6105385,0.2724948,not_evaluated_nonchemical_positional_probe
3011,defended_transformer,23,6.2809834,6.298028,6.457079,0.017044544,0.17609549,not_evaluated_nonchemical_positional_probe
3012,clean_transformer,25,4.1597915,4.8365145,5.539517,0.676723,1.3797255,not_evaluated_nonchemical_positional_probe
3012,defended_transformer,25,5.1653748,5.2273345,4.5474935,0.061959743,0.6178813,not_evaluated_nonchemical_positional_probe
3013,clean_transformer,14,6.2186904,5.9899535,4.437076,0.22873688,1.7816143,not_evaluated_nonchemical_positional_probe
3013,defended_transformer,14,5.552354,6.00992,5.3610106,0.45756626,0.19134331,not_evaluated_nonchemical_positional_probe
3014,clean_transformer,64,3.9293833,3.2997198,3.1471775,0.62966347,0.7822058,not_evaluated_nonchemical_positional_probe
3014,defended_transformer,64,4.0891523,3.132679,3.1574306,0.95647335,0.9317217,not_evaluated_nonchemical_positional_probe
3015,clean_transformer,57,4.1347284,3.6130693,3.7977943,0.52165914,0.3369341,not_evaluated_nonchemical_positional_probe
3015,defended_transformer,57,3.8846853,2.7321987,3.4880857,1.1524866,0.39659953,not_evaluated_nonchemical_positional_probe
3016,clean_transformer,44,5.058113,4.325562,4.1877136,0.7325511,0.8703995,not_evaluated_nonchemical_positional_probe
3016,defended_transformer,44,4.450287,3.2556655,4.153106,1.1946213,0.29718065,not_evaluated_nonchemical_positional_probe
3017,clean_transformer,31,3.6564302,3.6194766,3.831945,0.036953688,0.1755147,not_evaluated_nonchemical_positional_probe
3017,defended_transformer,31,4.1715403,3.8823986,4.6741734,0.28914165,0.5026331,not_evaluated_nonchemical_positional_probe
3018,clean_transformer,70,2.948184,3.3817706,2.3300278,0.4335866,0.6181562,not_evaluated_nonchemical_positional_probe
3018,defended_transformer,70,2.7717505,3.072727,2.325108,0.3009765,0.4466424,not_evaluated_nonchemical_positional_probe
3019,clean_transformer,18,3.598936,4.142295,4.640078,0.5433588,1.041142,not_evaluated_nonchemical_positional_probe
3019,defended_transformer,18,3.828591,5.1049895,4.7596116,1.2763984,0.9310205,not_evaluated_nonchemical_positional_probe
3020,clean_transformer,22,1.3134832,3.4115067,2.6669269,2.0980234,1.3534436,not_evaluated_nonchemical_positional_probe
3020,defended_transformer,22,2.7466044,3.8155973,3.5616062,1.0689929,0.8150017,not_evaluated_nonchemical_positional_probe
3021,clean_transformer,43,3.386329,4.372334,3.7080014,0.98600507,0.32167244,not_evaluated_nonchemical_positional_probe
3021,defended_transformer,43,2.6939356,4.0883236,3.7760293,1.394388,1.0820937,not_evaluated_nonchemical_positional_probe
3022,clean_transformer,13,6.226392,6.0213156,5.7074733,0.20507622,0.5189185,not_evaluated_nonchemical_positional_probe
3022,defended_transformer,13,6.53786,6.0372734,5.505285,0.5005865,1.0325751,not_evaluated_nonchemical_positional_probe
3023,clean_transformer,18,6.2289205,5.8342547,5.5415955,0.39466572,0.687325,not_evaluated_nonchemical_positional_probe
3023,defended_transformer,18,6.119032,5.9572573,5.9165483,0.16177464,0.20248365,not_evaluated_nonchemical_positional_probe
3024,clean_transformer,46,3.1296124,2.8549974,2.6457071,0.27461505,0.48390532,not_evaluated_nonchemical_positional_probe
3024,defended_transformer,46,2.3886302,3.1340556,2.5358129,0.74542546,0.1471827,not_evaluated_nonchemical_positional_probe
3025,clean_transformer,23,6.3375263,6.4843874,6.2959576,0.14686108,0.041568756,not_evaluated_nonchemical_positional_probe
3025,defended_transformer,23,6.4420075,6.2507305,6.361262,0.19127703,0.0807457,not_evaluated_nonchemical_positional_probe
3026,clean_transformer,16,5.2520137,4.9880123,5.236329,0.26400137,0.015684605,not_evaluated_nonchemical_positional_probe
3026,defended_transformer,16,5.4894166,5.3219304,4.214494,0.16748619,1.2749224,not_evaluated_nonchemical_positional_probe
3027,clean_transformer,23,3.559145,3.500986,2.3885455,0.058158875,1.1705995,not_evaluated_nonchemical_positional_probe
3027,defended_transformer,23,3.476241,4.114196,3.0605774,0.6379547,0.41566372,not_evaluated_nonchemical_positional_probe
3028,clean_transformer,35,2.8742988,3.3305404,3.358289,0.4562416,0.4839902,not_evaluated_nonchemical_positional_probe
3028,defended_transformer,35,3.294855,3.555441,4.580271,0.26058578,1.2854156,not_evaluated_nonchemical_positional_probe
3029,clean_transformer,25,4.7647734,3.1220248,4.318701,1.6427486,0.44607258,not_evaluated_nonchemical_positional_probe
3029,defended_transformer,25,4.461559,3.4926453,4.382544,0.96891356,0.07901478,not_evaluated_nonchemical_positional_probe
3030,clean_transformer,24,5.6278715,5.0417476,5.3920026,0.58612394,0.23586893,not_evaluated_nonchemical_positional_probe
3030,defended_transformer,24,5.6895466,5.2719984,5.1685586,0.41754818,0.520988,not_evaluated_nonchemical_positional_probe
3031,clean_transformer,17,3.8646567,2.679882,4.137166,1.1847746,0.27250934,not_evaluated_nonchemical_positional_probe
3031,defended_transformer,17,4.0008235,3.3787453,3.9550943,0.6220782,0.04572916,not_evaluated_nonchemical_positional_probe
3032,clean_transformer,24,5.7704635,5.883009,5.09671,0.11254549,0.67375326,not_evaluated_nonchemical_positional_probe
3032,defended_transformer,24,5.95076,6.0212154,5.330677,0.07045555,0.62008286,not_evaluated_nonchemical_positional_probe
3033,clean_transformer,20,3.6871138,2.092263,3.8969474,1.5948508,0.20983362,not_evaluated_nonchemical_positional_probe
3033,defended_transformer,20,3.6734452,3.7501912,4.0565395,0.07674599,0.3830943,not_evaluated_nonchemical_positional_probe
3034,clean_transformer,17,6.461237,5.889962,5.607538,0.57127476,0.85369873,not_evaluated_nonchemical_positional_probe
3034,defended_transformer,17,6.5351896,6.3069572,6.233758,0.22823238,0.30143166,not_evaluated_nonchemical_positional_probe
3035,clean_transformer,32,6.0943155,5.3539677,5.3224115,0.74034786,0.771904,not_evaluated_nonchemical_positional_probe
3035,defended_transformer,32,5.940035,5.400348,5.2605867,0.5396867,0.6794481,not_evaluated_nonchemical_positional_probe
3036,clean_transformer,33,2.709581,2.3540761,2.9105508,0.35550475,0.20096993,not_evaluated_nonchemical_positional_probe
3036,defended_transformer,33,2.9623733,1.6972704,3.6285906,1.2651029,0.6662173,not_evaluated_nonchemical_positional_probe
3037,clean_transformer,36,2.2179132,3.0983782,3.5433636,0.88046503,1.3254504,not_evaluated_nonchemical_positional_probe
3037,defended_transformer,36,2.8750238,2.8591437,2.805674,0.015880108,0.069349766,not_evaluated_nonchemical_positional_probe
3038,clean_transformer,59,4.1705503,3.5421536,3.3008685,0.62839675,0.86968184,not_evaluated_nonchemical_positional_probe
3038,defended_transformer,59,4.152482,4.0343776,3.097115,0.11810446,1.055367,not_evaluated_nonchemical_positional_probe
